Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Anode Side Current","Cell 1,1 Anode Intercalation Current"
43,CC-charge,8,581.8181818181819,463335.26149413834,4.01694831507561,27.263836618115,27.263836618115,42431.08846781282,4355.376699380169,-9.246135836980629e-15,4.01694831507561,5.238423427340391e-30,-0.40105673165806116
43,CC-charge,9,654.5454545454546,463407.98876686563,4.029441343440523,27.263836618115,27.263836618115,42013.39337949934,4808.832090929073,-9.246135837001456e-15,4.029441343440523,1.3191499601921816e-29,-0.40105673165806116
43,CC-charge,10,727.2727272727274,463480.71603959287,4.040030866703523,27.263836618115,27.263836618115,41595.69829118581,5262.287482477984,-9.246135836949675e-15,4.040030866703523,1.6631879779769915e-30,-0.40105673165806116
43,CC-charge,11,800.0000000000001,463553.44331232016,4.049150511986717,27.263836618115,27.263836618115,41178.003202872234,5715.742874027027,-9.246135837099765e-15,4.049150511986717,2.3181686517714726e-31,-0.40105673165806116
43,CC-charge,12,872.7272727272727,463626.17058504745,4.057158070674104,27.263836618115,27.263836618115,40760.30811455908,6169.198265576029,-9.246135837187551e-15,4.057158070674104,7.796585869751109e-31,-0.40105673165806116
43,CC-charge,13,945.4545454545455,463698.8978577747,4.0643464089621535,27.263836618115,27.263836618115,40342.61302624594,6622.653657125079,-9.246135837264505e-15,4.0643464089621535,3.859549796499092e-30,-0.40105673165806116
43,CC-charge,14,1018.1818181818182,463771.625130502,4.0709531316339564,27.263836618115,27.263836618115,39924.91793793272,7076.109048673886,-9.246135837178002e-15,4.0709531316339564,-5.6191696535228474e-30,-0.40105673165806116
43,CC-charge,15,1090.909090909091,463844.3524032293,4.077169866701598,27.263836618115,27.263836618115,39507.22284961876,7529.564440222732,-9.24613583722599e-15,4.077169866701598,1.0401474999741612e-30,-0.40105673165806116
43,CC-charge,16,1163.6363636363637,463917.0796759565,4.083150253071185,27.263836618115,27.263836618115,39089.52776130542,7983.019831771681,-9.246135837337645e-15,4.083150253071185,1.8221162833639714e-29,-0.40105673165806116
43,CC-charge,17,1236.3636363636365,463989.8069486838,4.089017432684129,27.263836618115,27.263836618115,38671.83267299179,8436.475223320627,-9.24613583736058e-15,4.089017432684129,-3.113172522091101e-29,-0.40105673165806116
43,CC-charge,18,1309.0909090909092,464062.53422141104,4.094868793943712,27.263836618115,27.263836618115,38254.13758467856,8889.9306148694,-9.246135837288324e-15,4.094868793943712,3.5313567723840466e-30,-0.40105673165806116
43,CC-charge,19,1381.818181818182,464135.26149413834,4.100781906796045,27.263836618115,27.263836618115,37836.44249636547,9343.386006418195,-9.24613583730389e-15,4.100781906796045,1.1397413650814776e-31,-0.40105673165806116
43,CC-charge,20,1454.5454545454547,464207.98876686563,4.106817752792102,27.263836618115,27.263836618115,37418.74740805225,9796.84139796702,-9.246135837465824e-15,4.106817752792102,-3.0265701578310003e-30,-0.40105673165806116
43,CC-charge,21,1527.2727272727275,464280.71603959287,4.113024243386267,27.263836618115,27.263836618115,37001.052319738155,10250.296789516107,-9.246135837508197e-15,4.113024243386267,8.732102393142559e-30,-0.40105673165806116
43,CC-charge,22,1600.0000000000002,464353.44331232016,4.1194399369934285,27.263836618115,27.263836618115,36583.357231425216,10703.75218106485,-9.246135837600881e-15,4.1194399369934285,1.861914325654347e-29,-0.40105673165806116
43,CC-charge,23,1672.727272727273,464426.17058504745,4.126093553205016,27.263836618115,27.263836618115,36165.66214311168,11157.207572613946,-9.246135837977534e-15,4.126093553205016,1.1075513124623062e-29,-0.40105673165806116
43,CC-charge,24,1745.4545454545455,464498.8978577747,4.133008053255636,27.263836618115,27.263836618115,35747.96705479873,11610.66296416287,-9.246135838436153e-15,4.133008053255636,1.0015528677120634e-31,-0.40105673165806116
43,CC-charge,25,1818.1818181818182,464571.625130502,4.140201417106606,27.263836618115,27.263836618115,35330.271966485496,12064.11835571198,-9.24613583819449e-15,4.140201417106606,2.0108979544338973e-29,-0.40105673165806116
43,CC-charge,26,1890.909090909091,464644.3524032293,4.147687787272771,27.263836618115,27.263836618115,34912.57687817235,12517.573747260803,-9.246135838079411e-15,4.147687787272771,-6.48326867382194e-30,-0.40105673165806116
43,CC-charge,27,1963.6363636363637,464717.0796759565,4.155478434811348,27.263836618115,27.263836618115,34494.88178985887,12971.029138809632,-9.246135838426046e-15,4.155478434811348,3.613661069796004e-29,-0.40105673165806116
43,CC-charge,28,2036.3636363636365,464789.8069486838,4.163584444824118,27.263836618115,27.263836618115,34077.18670154591,13424.48453035831,-9.246135838707726e-15,4.163584444824118,-9.449639483545874e-29,-0.40105673165806116
43,CC-charge,29,2109.0909090909095,464862.53422141104,4.172010475615831,27.263836618115,27.263836618115,33659.491613232734,13877.939921906782,-9.246135838759616e-15,4.172010475615831,1.6439184824105905e-29,-0.40105673165806116
43,CC-charge,30,2181.818181818182,464935.26149413834,4.180764870466579,27.263836618115,27.263836618115,33241.79652491943,14331.39531345549,-9.246135838713636e-15,4.180764870466579,1.41093864475164e-29,-0.40105673165806116
43,CC-charge,31,2254.545454545455,465007.98876686563,4.18985441882947,27.263836618115,27.263836618115,32824.10143660605,14784.850705004472,-9.24613583885221e-15,4.18985441882947,8.702179845597576e-29,-0.40105673165806116
43,CC-charge,32,2327.2727272727275,465080.71603959287,4.199286306800498,27.263836618115,27.263836618115,32406.406348292614,15238.30609655312,-9.246135838945485e-15,4.199286306800498,3.600878311639574e-30,-0.40105673165806116
43,CC-charge,33,2332.5930966467736,465086.03640896693,4.19999,27.263836618115,27.263836618115,32375.84983115376,15271.478661496372,-9.246135838931417e-15,4.19999,2.0880743006380446e-29,-0.40105673165806116
43,CV-charge,0,0.0,465086.03640896693,4.2,27.266532823265795,27.266532823265795,32375.84983115376,15271.478661496372,-9.246135838931417e-15,4.2,-3.861313373775684e-20,-0.40109639339902603
