Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
2,CC-charge,18,1309.0909090909092,14296.407052026078,8.183649587176138,54.52767323623,27.117599694122138,27.41007354210786,38391.02006604984,8600.395130056708,5.0540163399787875e-09,4.0930746310130655,-0.0,38725.10476244939,9134.803797887,5.0559609658390825e-09,4.09021822542407,-0.0,38597.273253582614,8959.161811463682,5.055259169517786e-09,4.090574956163072,-0.0,38487.54045856276,8579.17702030978,5.054051098961923e-09,4.09343136175207,-0.0
2,CC-charge,19,1381.818181818182,14369.13432475335,8.195306331559243,54.52767323623,27.123529876084582,27.40414336014542,37978.91197941541,9058.151921979323,5.05510954887063e-09,4.098960714968973,-0.0,38297.263041712176,9579.414928554048,5.057037356641196e-09,4.095964180344173,-0.0,38178.426476556466,9405.193674508408,5.056334451721039e-09,4.09634561659027,-0.0,38067.5488322965,9042.1248205867,5.055156096833658e-09,4.09934215121507,-0.0
2,CC-charge,20,1410.6841816497026,14398.000324584871,8.19999,54.52767323623,27.126269619290866,27.40140361693913,37815.31294467666,9239.871337569075,5.0555473270466714e-09,4.101318159053276,-0.0,38127.48053129193,9755.853156373434,5.057467560051962e-09,4.0982839989238045,-0.0,38012.15231051292,9582.258564395877,5.056764518503371e-09,4.098671840946723,-0.0,37900.88151303626,9225.839699844997,5.055598516094896e-09,4.101706001076193,-0.0
2,CV-charge,0,0.0,14398.000324584871,8.2,54.6198029826678,27.171875921989056,27.447927060678744,37815.31294467666,9239.871337569075,5.0555473270466714e-09,4.101322692901272,0.0,38127.48053129193,9755.853156373434,5.057467560051962e-09,4.098289638987052,0.0,38012.15231051292,9582.258564395877,5.056764518503371e-09,4.098677307098726,0.0,37900.88151303626,9225.839699844997,5.055598516094896e-09,4.101710361012947,0.0
2,CV-charge,1,72.72727272727273,14470.727597312143,8.2,50.64142856743112,25.202137080493713,25.439291486937417,37292.17539079291,9750.36077312761,5.056612739433309e-09,4.1013487389578795,-0.0,37584.77203099142,10251.290231710766,5.058513044964144e-09,4.098253959799499,-0.0,37480.460539611115,10079.672442036219,5.057810369791095e-09,4.098651261042121,-0.0,37368.1306975317,9741.709525178308,5.056674819143732e-09,4.1017460402005,-0.0
2,CV-charge,2,145.45454545454547,14543.454870039417,8.2,47.96255506021704,23.875917915698217,24.086637144518825,36924.60488247383,10160.504752423245,5.057628195453874e-09,4.101354081348631,-0.0,37203.73208807692,10649.078792203805,5.059508397532098e-09,4.0982475759027786,-0.0,37106.87960846111,10479.31110121948,5.058806705545414e-09,4.098645918651369,-0.0,36994.08212409841,10155.903612591721,5.057700144782271e-09,4.101752424097222,-0.0
2,CV-charge,3,218.1818181818182,14616.18214276669,8.2,45.48939577993063,22.651546400365195,22.837849379565426,36577.626180260035,10549.444553100817,5.058599499308696e-09,4.101349845598962,-0.0,36844.25384537312,11026.079098332662,5.060459953230077e-09,4.09825462846497,-0.0,36754.22719558114,10858.288698856537,5.0597596499707614e-09,4.098650154401036,-0.0,36641.1996340498,10548.45210448323,5.058680382677097e-09,4.1017453715350305,-0.0
2,CV-charge,4,290.90909090909093,14688.909415493961,8.2,43.18902637457351,21.512573137132048,21.676453237441464,36248.18939332576,10918.681694636361,5.059529431716166e-09,4.101339279318632,-0.0,36503.1553487757,11383.766237773689,5.061370777351489e-09,4.09827035574471,-0.0,36419.4035390783,11218.068288871667,5.060672155052921e-09,4.098660720681367,-0.0,36306.359656181194,10920.890932621189,5.059618365349587e-09,4.101729644255288,-0.0
2,CV-charge,5,363.6363636363637,14761.636688221235,8.2,41.04505870758705,20.450801011642344,20.594257695944705,35935.07308120093,11269.564783157584,5.060420722425621e-09,4.101324580468524,-0.0,36179.14986761604,11723.469090261278,5.0622437386666115e-09,4.098291571112447,-0.0,36101.167225787685,11559.96393158402,5.061547013074967e-09,4.098675419531476,-0.0,35988.29906892272,11274.603786285286,5.060516887701831e-09,4.1017084288875525,-0.0
2,CV-charge,6,436.3636363636364,14834.363960948507,8.200000000000001,39.04430724202968,19.45966484294636,19.58464239908333,35637.18975896617,11603.321451271535,5.061275990063294e-09,4.101307241066701,-0.0,35871.0893901471,12046.399617631088,5.063081504719043e-09,4.098316140115524,-0.0,35798.41298850278,11885.1718142592,5.062386839616925e-09,4.0986927589333,-0.0,35685.89092439325,11610.85261211744,5.0613786391839e-09,4.101683859884475,-0.0
2,CV-charge,7,509.0909090909091,14907.091233675781,8.2,37.17546840523686,18.533561304098964,18.6419071011379,35353.53768775661,11921.081005773314,5.06209770928311e-09,4.101288284028968,-0.0,35577.91542932278,12353.673922178416,5.063886546740314e-09,4.0983426229578415,-0.0,35510.12270817086,12194.792317930536,5.0631940697830974e-09,4.098711715971032,-0.0,35398.09615680187,11930.799542188075,5.062206164546273e-09,4.101657377042158,-0.0
2,CV-charge,8,581.8181818181819,14979.818506403053,8.2,35.428548953124576,17.667554842947602,17.760994110176973,35083.192267777275,12223.884980581719,5.062888187548478e-09,4.101268409079542,-0.0,35298.65065729803,12646.321843792726,5.064661140004423e-09,4.098370054327288,-0.0,35235.35666616739,12489.840299544716,5.06397095285525e-09,4.0987315909204565,-0.0,35123.95537043951,12235.51688768171,5.063001838455747e-09,4.1016299456727126,-0.0
2,CV-charge,9,654.5454545454546,15052.545779130325,8.199999999999998,33.79450696328494,16.857191909526406,16.93731505375853,34825.2992424612,12512.695269461974,5.0636495586791775e-09,4.1012480971383845,-0.0,35032.39217563436,12925.294476929103,5.06540737114544e-09,4.098397787222511,-0.0,34973.246637331664,12771.253016074541,5.064719556627546e-09,4.098751902861613,-0.0,34862.58223336372,12525.994966336455,5.06376785654489e-09,4.101602212777489,-0.0
2,CV-charge,10,727.2727272727274,15125.273051857599,8.200000000000003,32.26503950546902,16.09839058065392,16.166648924815096,34579.06598657981,12788.40419716289,5.064383793124613e-09,4.101227676996071,-0.0,34778.302555764676,13191.473834460598,5.066127157343135e-09,4.098425393399943,-0.0,34722.98703562174,13039.899937520888,5.065441783837619e-09,4.098772323003931,-0.0,34613.15468225294,12803.152165112724,5.0645062458925015e-09,4.101574606600058,-0.0
2,CV-charge,11,800.0000000000001,15198.000324584871,8.2,30.83246995574329,15.387381160271888,15.445088795471401,34343.757605734136,13051.83903490059,5.065092703691852e-09,4.101207372374055,-0.0,34535.60581911191,13445.67718209271,5.066822256925762e-09,4.098452593721964,-0.0,34483.83094982534,13296.587146633135,5.066139381456266e-09,4.098792627625944,-0.0,34374.91097628459,13067.83945352061,5.065218868624875e-09,4.101547406278035,-0.0
2,CV-charge,12,872.7272727272727,15270.727597312143,8.2,29.489680387061053,14.720670344488026,14.769010042573031,34118.6924459157,13303.767100668701,5.065777955656039e-09,4.101187333155203,-0.0,34303.58277231594,13688.661980823832,5.067494282381302e-09,4.098479212086816,-0.0,34255.08557969505,13542.062308519806,5.066813952874701e-09,4.098812666844797,-0.0,34147.14511794988,13320.845530003984,5.065907436247192e-09,4.1015207879131825,-0.0
2,CV-charge,13,945.4545454545455,15343.454870039417,8.199999999999998,28.23006708407159,14.09501780220747,14.135049281864115,33903.23912941502,13544.899129160442,5.0664410760190824e-09,4.101167658180657,-0.0,34081.56783123469,13921.129254341078,5.068144711200524e-09,4.098505142292088,-0.0,34036.109223388085,13777.017954223968,5.067466968008877e-09,4.098832341819341,-0.0,33929.203735329735,13562.900328255915,5.066573515391817e-09,4.101494857707912,-0.0
2,CV-charge,14,1018.1818181818182,15416.18214276669,8.199999999999998,27.04752038774824,13.5074254013783,13.54009498636994,33696.815161637845,13775.890849690144,5.06708345958555e-09,4.10114841039441,-0.0,33868.94747306406,14143.725221981076,5.068774892792628e-09,4.0985303261073955,-0.0,33826.309861501024,14002.09301821306,5.068099769869444e-09,4.098851589605587,-0.0,33720.48456261447,13794.676717544315,5.067218537173352e-09,4.101469673892605,-0.0
2,CV-charge,15,1090.909090909091,15488.909415493963,8.2,25.93634487398926,12.955097333988492,12.981247540000767,33498.874721115055,13997.356680190098,5.067706399826508e-09,4.101129626945086,-0.0,33665.14743510809,14357.05472734366,5.069386079508147e-09,4.098554738781283,-0.0,33625.132747425734,14217.886181621545,5.06871360494764e-09,4.098870373054914,-0.0,33520.42387375333,14016.804485141349,5.067843826195385e-09,4.101445261218715,-0.0
2,CV-charge,16,1163.6363636363637,15561.636688221235,8.200000000000001,24.89129304589777,12.435456688334234,12.455836357563534,33308.91575032771,14209.861785225174,5.068311076117561e-09,4.101111327658685,-0.0,33469.63995067005,14561.673653928781,5.0699794136639915e-09,4.0985783771705275,-0.0,33432.06761412216,14424.948133688602,5.069309610598615e-09,4.0988886723413165,-0.0,33328.503585580285,14229.862439166363,5.068450589751167e-09,4.101421622829473,-0.0
2,CV-charge,17,1236.3636363636365,15634.363960948507,8.2,23.90774207496063,11.946233053938233,11.9615090210224,33126.514904727475,14413.882961663794,5.068898476990636e-09,4.101093524121424,-0.0,33281.979908762514,14758.051062433386,5.07055585262172e-09,4.098601247484561,-0.0,33246.68419461575,14623.743459284015,5.0698887399752776e-09,4.098906475878574,-0.0,33144.286754061104,14434.338984366346,5.069039841041776e-09,4.101398752515439,-0.0
2,CV-charge,18,1309.0909090909092,15707.091233675781,8.2,22.980962240230742,11.485100486430325,11.495861753800417,32951.19495676276,14609.9571687838,5.069469703844945e-09,4.101076210891973,-0.0,33101.667075572586,14946.713583923896,5.071116466133321e-09,4.098623376458863,-0.0,33068.49745784697,14814.795364661684,5.070452058615956e-09,4.098923789108027,-0.0,32967.28232373682,14630.782470236789,5.0696127082852725e-09,4.101376623541138,-0.0
2,CV-charge,19,1381.818181818182,15779.818506403053,8.2,22.10683226870827,11.050031820891727,11.056800447816542,32782.55621773339,14798.534223356983,5.070025674072787e-09,4.101059381094937,-0.0,32928.28247989115,15128.102397765113,5.071662145457666e-09,4.098644790936312,-0.0,32897.10117950392,14998.542145526724,5.071000454081128e-09,4.098940618905062,-0.0,32797.0790107352,14819.652270527105,5.070170124984983e-09,4.101355209063685,-0.0
2,CV-charge,20,1454.5454545454547,15852.545779130325,8.2,21.28155544285088,10.639158429215941,10.642397013634938,32620.22794406497,14980.031375896813,5.07056723347705e-09,4.101043023998816,-0.0,32761.437838447637,15302.62637599333,5.072193713371087e-09,4.098665521081316,-0.0,32732.118553704182,15175.390365409125,5.071534745667559e-09,4.098956976001183,-0.0,32633.295656057195,15001.374119342645,5.070712955481918e-09,4.101334478918682,-0.0
2,CV-charge,21,1527.2727272727275,15925.273051857599,8.2,20.501607039227178,10.250744411146753,10.250862628080425,32463.86002783924,15154.84258909117,5.071095176740891e-09,4.101027125746616,-0.0,32600.76686484727,15470.671162914528,5.072711943739453e-09,4.098685599458692,-0.0,32573.193747650905,15345.723896448984,5.072055704112879e-09,4.098972874253383,-0.0,32475.572693976974,15176.349565187878,5.071242009556554e-09,4.101314400541308,-0.0
2,CV-charge,22,1600.0000000000002,15998.000324584871,8.2,19.76228306864084,9.882466654369578,9.879816414271259,32312.826846950098,15323.669798630559,5.071610921493827e-09,4.101011640035072,-0.0,32445.61864574617,15632.920049172082,5.073218221794082e-09,4.098705098237809,-0.0,32419.690909218134,15510.226695462836,5.07256471195433e-09,4.0989883599649275,-0.0,32323.271154191767,15345.290078371443,5.0717587294911485e-09,4.101294901762189,-0.0
2,CV-charge,23,1672.727272727273,16070.727597312143,8.2,19.062544729829636,9.533818762885838,9.5287259669438,32167.216046725316,15486.4165865598,5.072114261695844e-09,4.100996590437362,-0.0,32296.081290938608,15789.282439494358,5.07371234312668e-09,4.098723999466283,-0.0,32271.699116888918,15668.804814254685,5.0730615623615806e-09,4.099003409562637,-0.0,32176.477529846336,15508.101327094917,5.072262910316834e-09,4.1012760005337165,-0.0
2,CV-charge,24,1745.4545454545455,16143.454870039417,8.2,18.399277210049142,9.203263123223183,9.196014086825963,32026.672020704005,15643.482756615389,5.072605997951977e-09,4.100981952894025,-0.0,32151.784229223216,15940.14814346725,5.074195090292733e-09,4.098742344460533,-0.0,32128.85694941266,15821.847816296606,5.073547035396047e-09,4.099018047105973,-0.0,32034.828049027114,15665.189197095757,5.0727553666247205e-09,4.101257655539467,-0.0
