,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C1,41,2981.818181818182,2981.818181818182,34410.58708483923,13276.684657469494,5e-09,3.6811560859235843,-13.6319183090575
C1,42,3054.545454545455,3054.545454545455,34619.434628995834,13049.956961694988,5e-09,3.676648694862514,-13.6319183090575
C1,43,3127.2727272727275,3127.2727272727275,34828.28217315232,12823.229265920427,5e-09,3.672186643520736,-13.6319183090575
C1,44,3200.0000000000005,3200.0000000000005,35037.12971730871,12596.501570145829,5e-09,3.6677683880847867,-13.6319183090575
C1,45,3272.727272727273,3272.727272727273,35245.977261465174,12369.773874371198,5e-09,3.663392234960921,-13.6319183090575
C1,46,3345.454545454546,3345.454545454546,35454.8248056216,12143.046178596749,5e-09,3.659056317041822,-13.6319183090575
C1,47,3418.1818181818185,3418.1818181818185,35663.67234977814,11916.318482822284,5e-09,3.6547585680329098,-13.6319183090575
C1,48,3490.909090909091,3490.909090909091,35872.51989393464,11689.590787047708,5e-09,3.650496549014142,-13.6319183090575
C1,49,3563.636363636364,3563.636363636364,36081.36743809107,11462.863091273179,5e-09,3.64626803758728,-13.6319183090575
C1,50,3636.3636363636365,3636.3636363636365,36290.21498224753,11236.135395498606,5e-09,3.642070000020616,-13.6319183090575
C1,51,3709.0909090909095,3709.0909090909095,36499.06252640393,11009.40769972403,5e-09,3.637899262566744,-13.6319183090575
C1,52,3781.818181818182,3781.818181818182,36707.910070560465,10782.680003949474,5e-09,3.633752281536176,-13.6319183090575
C1,53,3854.545454545455,3854.545454545455,36916.757614716924,10555.952308174888,5e-09,3.6296250979242752,-13.6319183090575
C1,54,3927.2727272727275,3927.2727272727275,37125.60515887349,10329.224612400363,5e-09,3.625513287169379,-13.6319183090575
C1,55,4000.0000000000005,4000.0000000000005,37334.45270302969,10102.496916625765,5e-09,3.621411903462747,-13.6319183090575
C1,56,4072.727272727273,4072.727272727273,37543.30024718613,9875.769220851284,5e-09,3.6173154179764864,-13.6319183090575
C1,57,4145.454545454546,4145.454545454546,37752.14779134254,9649.041525076756,5e-09,3.613217650310374,-13.6319183090575
C1,58,4218.181818181819,4218.181818181819,37960.99533549895,9422.313829302171,5e-09,3.609111692392465,-13.6319183090575
C1,59,4290.909090909091,4290.909090909091,38169.84287965536,9195.586133527573,5e-09,3.604989823994143,-13.6319183090575
C1,60,4363.636363636364,4363.636363636364,38378.69042381193,8968.858437753053,5e-09,3.600843418941555,-13.6319183090575
C1,61,4436.363636363637,4436.363636363637,38587.53796796852,8742.130741978548,5e-09,3.5966628410210872,-13.6319183090575
C1,62,4509.09090909091,4509.09090909091,38796.38551212493,8515.403046204061,5e-09,3.5924373284879323,-13.6319183090575
C1,63,4581.818181818182,4581.818181818182,39005.2330562815,8288.675350429507,5e-09,3.588154391349639,-13.6319183090575
C1,64,4654.545454545455,4654.545454545455,39214.08060043794,8061.947654654917,5e-09,3.5838014319136624,-13.6319183090575
C1,65,4727.272727272728,4727.272727272728,39422.928144594465,7835.219958880365,5e-09,3.5793628161855735,-13.6319183090575
C1,66,4800.0,4800.0,39631.77568875081,7608.4922631058225,5e-09,3.5748220215965874,-13.6319183090575
C1,67,4872.727272727273,4872.727272727273,39840.62323290723,7381.764567331295,5e-09,3.5701604139816228,-13.6319183090575
C1,68,4945.454545454546,4945.454545454546,40049.47077706356,7155.036871556794,5e-09,3.565357216440984,-13.6319183090575
C1,69,5018.181818181819,5018.181818181819,40258.31832122001,6928.309175782197,5e-09,3.560389229022795,-13.6319183090575
C1,70,5090.909090909091,5090.909090909091,40467.16586537636,6701.581480007659,5e-09,3.5552306421311055,-13.6319183090575
C1,71,5163.636363636364,5163.636363636364,40676.01340953283,6474.853784233134,5e-09,3.549852732920353,-13.6319183090575
C1,72,5236.363636363637,5236.363636363637,40884.86095368932,6248.126088458597,5e-09,3.5442235497294936,-13.6319183090575
C1,73,5309.09090909091,5309.09090909091,41093.708497845815,6021.398392684069,5e-09,3.5383075733891722,-13.6319183090575
C1,74,5381.818181818182,5381.818181818182,41302.55604200232,5794.670696909569,5e-09,3.5320653666734487,-13.6319183090575
C1,75,5454.545454545455,5454.545454545455,41511.40358615872,5567.943001135011,5e-09,3.525453099343278,-13.6319183090575
C1,76,5527.272727272728,5527.272727272728,41720.25113031512,5341.215305360472,5e-09,3.518422251455113,-13.6319183090575
C1,77,5600.000000000001,5600.000000000001,41929.09867447165,5114.4876095859845,5e-09,3.51091906499878,-13.6319183090575
C1,78,5672.727272727273,5672.727272727273,42137.94621862806,4887.759913811459,5e-09,3.502884088303124,-13.6319183090575
C1,79,5745.454545454546,5745.454545454546,42346.793762784524,4661.032218036919,5e-09,3.4942516400458636,-13.6319183090575
C1,80,5818.181818181819,5818.181818181819,42555.64130694097,4434.304522262426,5e-09,3.484949383036641,-13.6319183090575
C1,81,5890.909090909091,5890.909090909091,42764.4888510974,4207.576826487918,5e-09,3.474897714563309,-13.6319183090575
C1,82,5963.636363636364,5963.636363636364,42973.336395253864,3980.8491307133986,5e-09,3.4640093243564767,-13.6319183090575
C1,83,6036.363636363637,6036.363636363637,43182.18393941047,3754.1214349389415,5e-09,3.452188584728246,-13.6319183090575
C1,84,6109.09090909091,6109.09090909091,43391.03148356702,3527.3937391644267,5e-09,3.439331336154784,-13.6319183090575
C1,85,6181.818181818182,6181.818181818182,43599.87902772345,3300.666043389914,5e-09,3.4253242679566758,-13.6319183090575
C1,86,6254.545454545455,6254.545454545455,43808.72657187971,3073.9383476153957,5e-09,3.410044273912365,-13.6319183090575
C1,87,6327.272727272728,6327.272727272728,44017.57411603639,2847.2106518408855,5e-09,3.393358639756868,-13.6319183090575
C1,88,6400.000000000001,6400.000000000001,44226.42166019294,2620.4829560663834,5e-09,3.375123065700953,-13.6319183090575
C1,89,6472.727272727273,6472.727272727273,44435.26920434953,2393.7552602918786,5e-09,3.3551794752073554,-13.6319183090575
C1,90,6545.454545454546,6545.454545454546,44644.11674850619,2167.0275645173733,5e-09,3.3333493043306226,-13.6319183090575
C1,91,6618.181818181819,6618.181818181819,44852.96429266248,1940.2998687428596,5e-09,3.3094167547694475,-13.6319183090575
C1,92,6690.909090909092,6690.909090909092,45061.81183681889,1713.5721729683478,5e-09,3.28308547360076,-13.6319183090575
C1,93,6763.636363636364,6763.636363636364,45270.659380975245,1486.8444771938384,5e-09,3.253864219077047,-13.6319183090575
C1,94,6836.363636363637,6836.363636363637,45479.506925131784,1260.1167814193252,5e-09,3.2207433315866734,-13.6319183090575
C1,95,6909.09090909091,6909.09090909091,45688.35446928829,1033.3890856448202,5e-09,3.1811929121335103,-13.6319183090575
C1,96,6981.818181818182,6981.818181818182,45897.20201344481,806.6613898703127,5e-09,3.1275643240416873,-13.6319183090575
C1,97,7054.545454545455,7054.545454545455,46106.0495576014,579.933694095804,5e-09,3.030718819701303,-13.6319183090575
C1,98,7127.272727272728,7127.272727272728,46314.8971017579,353.205998321298,5e-09,2.7260125590162594,-13.6319183090575
C1,99,7168.966272570708,7168.966272570708,46434.6265267195,223.22612832768442,5e-09,2.0000100000000334,-13.6319183090575
C2,0,7168.966272570708,0.0,46434.6265267195,223.22612832768442,5e-09,2.66659052986932,13.6319183090575
C2,1,7241.693545297981,72.72727272727273,46156.40996028778,488.1199049989229,5.000000466055005e-09,3.5519209605094324,13.6319183090575
C2,2,7314.420818025253,145.45454545454547,45946.61793241787,714.8608811003444,5.0000111664665136e-09,3.6681780519696083,13.6319183090575
C2,3,7387.148090752526,218.1818181818182,45737.74679238317,941.587223369045,5.00004902999475e-09,3.71686571312119,13.6319183090575
C2,4,7459.875363479799,290.90909090909093,45528.898593870945,1168.3123404683195,5.000124439110568e-09,3.7481150141986306,13.6319183090575
C2,5,7532.602636207072,363.6363636363637,45320.05103185934,1395.0358702698163,5.000248451334097e-09,3.7730732722738827,13.6319183090575
C2,6,7605.329908934344,436.3636363636364,45111.2034873491,1621.757291832975,5.000436962627174e-09,3.794890253485258,13.6319183090575
C2,7,7678.057181661617,509.0909090909091,44902.355943183706,1848.475953033417,5.000710117732308e-09,3.8145977009771097,13.6319183090575
C2,8,7750.78445438889,581.8181818181819,44693.50839902694,2075.1911959377885,5.00108839877387e-09,3.832586280582352,13.6319183090575
C2,9,7823.511727116163,654.5454545454546,44484.66085487044,2301.902155604793,5.001599073789841e-09,3.8490413114780124,13.6319183090575
C2,10,7896.238999843435,727.2727272727274,44275.8133107138,2528.6079729087896,5.0022694644150554e-09,3.8640830533971937,13.6319183090575
C2,11,7968.966272570708,800.0000000000001,44066.96576655731,2755.307798961131,5.003126810706661e-09,3.877812812563292,13.6319183090575
C2,12,8041.693545297981,872.7272727272727,43858.11822240059,2982.0008412713323,5.004196791901164e-09,3.8903274830245436,13.6319183090575
C2,13,8114.4208180252535,945.4545454545455,43649.27067824406,3208.6864052748565,5.005502168298548e-09,3.901722905006025,13.6319183090575
C2,14,8187.148090752526,1018.1818181818182,43440.42313408743,3435.3639386758637,5.007061314085842e-09,3.9120935945210538,13.6319183090575
C2,15,8259.875363479798,1090.909090909091,43231.57558993085,3662.033034312465,5.008888066937534e-09,3.9215315801077595,13.6319183090575
C2,16,8332.602636207072,1163.6363636363637,43022.7280457742,3888.6934459672334,5.01099116370142e-09,3.93012516530549,13.6319183090575
C2,17,8405.329908934344,1236.3636363636365,42813.88050161768,4115.345074563484,5.013374624666448e-09,3.9379583298250798,13.6319183090575
C2,18,8478.057181661618,1309.0909090909092,42605.0329574612,4341.987985860374,5.016037140783065e-09,3.9451095791086837,13.6319183090575
C2,19,8550.78445438889,1381.818181818182,42396.18541330456,4568.6223794230855,5.0189730331969324e-09,3.951652149161468,13.6319183090575
C2,20,8623.511727116162,1454.5454545454547,42187.337869147996,4795.248565474022,5.022172971703675e-09,3.9576537772773714,13.6319183090575
C2,21,8696.238999843436,1527.2727272727275,41978.49032499152,5021.866948991695,5.025624473765911e-09,3.963176632319512,13.6319183090575
C2,22,8768.966272570708,1600.0000000000002,41769.642780834896,5248.478001718069,5.029312799307348e-09,3.9682776589489888,13.6319183090575
C2,23,8841.693545297981,1672.727272727273,41560.79523667832,5475.0822491289,5.033221372920725e-09,3.973008742731681,13.6319183090575
C2,24,8914.420818025254,1745.4545454545455,41351.94769252164,5701.68023452373,5.037332947345216e-09,3.977417050926537,13.6319183090575
C2,25,8987.148090752526,1818.1818181818182,41143.10014836505,5928.272506595201,5.041630013716984e-09,3.9815452874408384,13.6319183090575
C2,26,9059.875363479798,1890.909090909091,40934.252604208436,6154.8596074228735,5.046095200931948e-09,3.985432079119042,13.6319183090575
C2,27,9132.602636207072,1963.6363636363637,40725.405060051766,6381.442061100593,5.0507116551091935e-09,3.9891122746432623,13.6319183090575
C2,28,9205.329908934344,2036.3636363636365,40516.55751589515,6608.020369808371,5.055463179557158e-09,3.992617275210272,13.6319183090575
C2,29,9278.057181661618,2109.0909090909095,40307.70997173849,6834.594995003201,5.060334849176551e-09,3.9959752702902946,13.6319183090575
C2,30,9350.78445438889,2181.818181818182,40098.86242758186,7061.166364158272,5.065312805557679e-09,3.999211610239857,13.6319183090575
C2,31,9423.511727116162,2254.545454545455,39890.01488342525,7287.734865602935,5.07038443127007e-09,4.002349017556772,13.6319183090575
C2,32,9496.238999843436,2327.2727272727275,39681.16733926861,7514.30084781242,5.075538379740248e-09,4.005407844591119,13.6319183090575
C2,33,9568.966272570708,2400.0,39472.319795112126,7740.864619805934,5.0807645681176645e-09,4.008406300449358,13.6319183090575
C2,34,9641.693545297981,2472.727272727273,39263.47225095565,7967.426655487032,5.0860476358593204e-09,4.011360659723986,13.6319183090575
C2,35,9714.420818025254,2545.4545454545455,39054.6247067991,8193.98696940382,5.091386959026316e-09,4.014285452550364,13.6319183090575
C2,36,9787.148090752526,2618.1818181818185,38845.77716264255,8420.545763126123,5.096775898274662e-09,4.017193639778086,13.6319183090575
