,,Global Time,Time,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area"
C1,34,2472.727272727273,2472.727272727273,-13.665195393608494,-13.598641224506506,33033.02647341488,14845.926408096126,4.999999999608336e-09,3.711684997736135,9.391220361000036,32993.95519617217,14742.420588843048,5e-09,3.7116849977361346,9.335455295887037
C1,35,2545.4545454545455,2545.4545454545455,-13.665145426715902,-13.598691191399098,33244.22046511121,14618.795766967207,4.999999999602385e-09,3.706798447475384,9.66728440969018,33204.232857813855,14512.019289901824,5e-09,3.7067984474753843,9.610175825340628
C1,36,2618.1818181818185,2618.1818181818185,-13.665120258122469,-13.598716359992531,33455.41405753474,14391.665623481173,4.999999999610345e-09,3.7019661670538015,9.943347699436025,33414.51091893864,14281.617483684435,5e-09,3.701966167053802,9.884897113738525
C1,37,2690.909090909091,2690.909090909091,-13.665121902742104,-13.598714715372896,33666.60766165053,14164.53554100058,4.999999999601427e-09,3.6971870769169684,10.219410751565968,33624.788968364875,14051.21561528046,5e-09,3.6971870769169684,10.159618639752317
C1,38,2763.636363636364,2763.636363636364,-13.665152842137967,-13.598683775977033,33877.80172644454,13937.405043267972,4.999999999622682e-09,3.6924600730461234,10.495474132827384,33835.066556870624,13820.814170166934,5e-09,3.6924600730461234,10.43433983663464
C1,39,2836.3636363636365,2836.3636363636365,-13.665216083848714,-13.598620534266287,34088.99674699685,13710.273605883216,4.999999999600246e-09,3.687784009282208,10.771538465413109,34045.34318911484,13590.413682895625,5e-09,3.687784009282208,10.709060082192654
C1,40,2909.0909090909095,2909.0909090909095,-13.66531522958366,-13.59852138853134,34300.19327360963,13483.140646670809,4.999999999621694e-09,3.6831576792661673,11.047604438276062,34255.61831450518,13360.01474691189,5e-09,3.6831576792661673,10.983778687473439
C1,41,2981.818181818182,2981.818181818182,-13.665454553101926,-13.598382065013075,34511.3919221414,13256.005514777715,4.999999999643421e-09,3.678579797756207,11.32367281991935,34465.89131685934,13129.61802566817,5e-09,3.678579797756207,11.258494883973887
C1,42,3054.545454545455,3054.545454545455,-13.665639088666168,-13.598197529448832,34722.593385712586,13028.867478324293,4.999999999661585e-09,3.674048981078953,11.599744472866504,34676.16150269215,12899.224265211735,5e-09,3.674048981078953,11.533207809170472
C1,43,3127.2727272727275,3127.2727272727275,-13.665874731031833,-13.597961887083168,34933.79844796296,12801.725710418063,4.9999999996757255e-09,3.6695637264640473,11.87582037003517,34886.4280879509,12668.834308442358,5e-09,3.6695637264640473,11.807916490145542
C1,44,3200.0000000000005,3200.0000000000005,-13.66616834795487,-13.597668270160131,35145.007998059875,12574.579273319367,4.999999999670609e-09,3.665122390000753,12.151901613257259,35096.6901829999,12438.449111252814,5e-09,3.6651223900007532,12.082619825067193
C1,45,3272.727272727273,3272.727272727273,-13.666527906233139,-13.597308711881862,35356.223047669584,12347.427100532472,4.99999999972034e-09,3.6607231629405304,12.427989454208651,35306.94677564068,12208.069760784208,5e-09,3.660723162940531,12.357316562259536
C1,46,3345.454545454546,3345.454545454546,-13.666962612143415,-13.596874005971586,35567.44475012076,12120.267976578752,4.999999999712768e-09,3.656364046134612,12.704085318030637,35517.19671193685,11977.69749604461,5e-09,3.6563640461346125,12.632005276581289
C1,47,3418.1818181818185,3418.1818181818185,-13.667483067783719,-13.596353550331282,35778.67442201095,11893.100514186648,4.999999999714437e-09,3.65204282180213,12.980190829949093,35727.438674597804,11747.333731160556,5e-09,3.65204282180213,12.90668434280657
C1,48,3490.909090909091,3490.909090909091,-13.668101026527086,-13.595735591587914,35989.913540358655,11665.923157874378,4.99999999969938e-09,3.6477569027910453,13.256307841002737,35937.671185827436,11516.98005172543,5e-09,3.6477569027910457,13.18135190989666
C1,49,3563.636363636364,3563.636363636364,-13.668831372299298,-13.595005245815702,36201.1638547924,11438.734063815764,4.999999999701869e-09,3.6435038180494366,13.532438471293913,36147.892495075976,11286.638337258444,5e-09,3.643503818049436,13.456005857749224
C1,50,3636.3636363636365,3636.3636363636365,-13.669689455312206,-13.594147162802795,36412.427330213824,11211.531161727038,4.999999999708933e-09,3.6392803358767556,13.808585146320292,36358.100636406794,11056.310698120544,5e-09,3.6392803358767565,13.730643760866581
C1,51,3709.0909090909095,3709.0909090909095,-13.670693340998648,-13.593143277116353,36623.70621151006,10984.312086340231,4.999999999702401e-09,3.635083027486841,14.084750629111312,36568.293363751276,10825.999545366949,5e-09,3.6350830274868415,14.0052628562193
C1,52,3781.818181818182,3781.818181818182,-13.671863514170514,-13.591973103944486,36835.00306027825,10757.074138392281,4.999999999699321e-09,3.630908059533731,14.360938072092818,36778.46811416347,10595.70763051355,5e-09,3.630908059533731,14.27985999138153
C1,53,3854.545454545455,3854.545454545455,-13.673223129514009,-13.590613488600992,37046.32079618777,10529.814240835749,4.999999999700944e-09,3.626751144391757,14.637151068493672,36988.62196643621,10365.438090173871,5e-09,3.6267511443917564,14.554431573124415
C1,54,3927.2727272727275,3927.2727272727275,-13.674798272070998,-13.589038346044003,37257.66274234826,10302.528890774787,4.999999999702596e-09,3.6226074850348593,14.913393708913722,37198.75159571012,10135.194495053911,5e-09,3.6226074850348597,14.828973510848101
C1,55,4000.0000000000005,4000.0000000000005,-13.676618222683711,-13.58721839543129,37469.032674735965,10075.21410705194,4.999999999700099e-09,3.618471713879147,15.189670643204174,37408.85322402143,9904.980903378959,5e-09,3.6184717138791473,15.103481154701388
C1,56,4072.727272727273,4072.727272727273,-13.678715721230002,-13.585120896884998,37680.43487561974,9847.865373534592,4.9999999997057835e-09,3.6143378248869116,15.46598714768815,37618.92256684624,9674.801918705994,5e-09,3.6143378248869116,15.377949228361148
C1,57,4145.454545454546,4145.454545454546,-13.681127217715897,-13.582709400399104,37891.874190767725,9620.477578310263,4.999999999721086e-09,3.6101990981644274,15.742349197576493,37828.954775864564,9444.662751905096,5e-09,3.610199098164428,15.652371756616544
C1,58,4218.181818181819,4218.181818181819,-13.683893097889749,-13.579943520225251,38103.35608999792,9393.044949222854,4.999999999701853e-09,3.606048016211387,16.018763544198773,38038.94437837862,9214.569286870874,5e-09,3.6060480162113864,15.926741988138003
C1,59,4290.909090909091,4290.909090909091,-13.687057865792037,-13.576778752322964,38314.886730361286,9165.56098647212,4.999999999684516e-09,3.601876170900358,16.29523779635717,38248.88521409568,8984.528149228236,5e-09,3.601876170900358,16.201052314123338
C1,60,4363.636363636364,4363.636363636364,-13.690670260545854,-13.573166357569146,38526.473020884136,8938.018393366252,4.999999999656935e-09,3.5976741601795617,16.57178050470402,38458.770370351165,8754.546776919895,5e-09,3.597674160179562,16.47529418392023
C1,61,4436.363636363637,4436.363636363637,-13.694783278565216,-13.569053339549784,38738.12268734794,8710.409006791802,4.9999999996120276e-09,3.593431473401763,16.848401247523324,38668.5921172962,8524.633491082677,5e-09,3.5934314734017625,16.749458019244663
C1,62,4509.09090909091,4509.09090909091,-13.699466822778625,-13.564369795336376,38949.84172425609,8482.726520781616,4.9999999994419195e-09,3.5891359531115676,17.125110844506597,38878.344457270956,8294.794719755833,5e-09,3.5891359531115676,17.02353300040513
C1,63,4581.818181818182,4581.818181818182,-13.704766004403814,-13.559070613711187,39161.64180737188,8254.958595700806,4.999999999147123e-09,3.584775195210115,17.401921277104396,39088.0157083642,8065.04304144784,5e-09,3.5847751952101152,17.297507145951062
C1,64,4654.545454545455,4654.545454545455,-13.710753114706653,-13.553083503408347,39373.53364135198,8027.093871485348,4.999999999266969e-09,3.580333906561161,17.67884571265097,39297.59516028294,7835.39003613308,5e-09,3.580333906561161,17.57136728854823
C1,65,4727.272727272728,4727.272727272728,-13.717492555633548,-13.546344062481452,39585.52884152052,7799.120039787417,4.999999999349071e-09,3.5757958922972715,17.95589869922006,39507.071191586976,7605.8482504270205,5e-09,3.5757958922972715,17.845098880122876
C1,66,4800.0,4800.0,-13.72505257892904,-13.53878403918596,39797.64009274336,7571.023649160007,4.999999999326039e-09,3.5711428658190303,18.2330961248217,39716.43111073174,7376.431396173068,5e-09,3.5711428658190303,18.118686032664968
C1,67,4872.727272727273,4872.727272727273,-13.733502062773105,-13.530334555341895,40009.880837652716,7342.790430896446,4.999999999361509e-09,3.5663544262551587,18.51045526261667,39925.661468006896,7147.154018294114,5e-09,3.5663544262551587,18.392111473013735
C1,68,4945.454545454546,4945.454545454546,-13.742909043484584,-13.520927574630417,40222.2651981767,7114.405383891919,4.999999998926748e-09,3.561407772502536,18.787994768740486,40134.74813404875,6918.0314082899795,5e-09,3.5614077725025357,18.665356545033656
C1,69,5018.181818181819,5018.181818181819,-13.753334729106058,-13.510501889008943,40434.80875163448,6885.851939217048,4.999999998845867e-09,3.5562775032931775,19.06573460482726,40343.67552333548,6689.080455834934,5e-09,3.5562775032931784,18.93840128709062
C1,70,5090.909090909091,5090.909090909091,-13.764831451556976,-13.499005166558025,40647.527881260736,6657.11263107704,4.999999999027499e-09,3.5509353310137457,19.343695879379407,40552.42724400685,6460.3189648303805,5e-09,3.5509353310137457,19.211224590682203
C1,71,5163.636363636364,5163.636363636364,-13.777438352195087,-13.486398265919913,40860.43959659613,6428.169286041563,4.999999999383122e-09,3.545349758652305,19.621900624871852,40760.98627756551,6231.765460511749,5e-09,3.5453497586523044,19.483804423333495
C1,72,5236.363636363637,5236.363636363637,-13.791176093032393,-13.472660525082608,41073.56126113503,6199.003302223976,4.999999999311296e-09,3.539485738376164,19.900371477853948,40969.33525137495,6003.438904865221,5e-09,3.5394857383761638,19.756118148495137
C1,73,5309.09090909091,5309.09090909091,-13.806040002335536,-13.457796615779465,41286.91038366029,5969.595855462491,4.999999998506224e-09,3.5333043185412847,20.17913123639302,41177.45664743323,5775.358486454681,5e-09,3.5333043185412847,20.028142968099804
C1,74,5381.818181818182,5381.818181818182,-13.821995405368348,-13.441841212746652,41500.503583329504,5739.928998527745,4.999999997690821e-09,3.526762154630307,20.458202301117296,41385.333837831815,5547.5424999358465,5e-09,3.5267621546303065,20.299856481519257
C1,75,5454.545454545455,5454.545454545455,-13.838967082659336,-13.424869535455665,41714.35668652282,5509.985530075406,4.999999997867031e-09,3.519811213999565,20.737605962612527,41592.950987857934,5320.008479640462,5e-09,3.5198112139995645,20.571237398167767
C1,76,5527.272727272728,5527.272727272728,-13.85683231164558,-13.407004306469421,41928.48374487204,5279.750029860281,4.99999999754789e-09,3.5123982082367045,21.017361512049952,41800.29403848064,5092.7721443221835,5e-09,3.512398208236704,20.842266426874083
C1,77,5600.000000000001,5600.000000000001,-13.875412850805144,-13.388423767309856,42142.89619419781,5049.2097410666465,4.99999999762861e-09,3.5044641218830974,21.297485200559557,42007.35154785785,4865.846497745972,5e-09,3.5044641218830983,21.11292731650822
C1,78,5672.727272727273,5672.727272727273,-13.894467705604937,-13.369368912510064,42357.601879502654,4818.355598221841,4.999999997688233e-09,3.495943660701635,21.577989044563697,42214.115666856946,4639.240780875788,5e-09,3.4959436607016343,21.383208050647813
C1,79,5745.454545454546,5745.454545454546,-13.91369075081117,-13.35014586730383,42572.60359193953,4587.183788646159,4.9999999981329956e-09,3.486764777148869,21.858879534022446,42420.58360285493,4412.95888019806,5e-09,3.486764777148869,21.653102139332802
C1,80,5818.181818181819,5818.181818181819,-13.932702081582875,-13.331134536532126,42787.89901430841,4355.695799174977,4.999999998023827e-09,3.4768480529614996,22.140156229299155,42626.75767427171,4186.99928009494,5e-09,3.4768480529614996,21.922610022199834
C1,81,5890.909090909091,5890.909090909091,-13.951053313999415,-13.312783304115586,43003.4790328577,4123.900224150541,4.99999999752166e-09,3.4661062113297403,22.421810324204024,42832.64699965797,3961.3532198530156,5e-09,3.46610621132974,22.1917405054387
C1,82,5963.636363636364,5963.636363636364,-13.968233447487282,-13.295603170627718,43219.32693879041,3891.8136460092337,4.999999997605757e-09,3.4544434389303924,22.7038233217948,43038.26829660832,3736.003796029485,5e-09,3.4544434389303924,22.460512085991663
C1,83,6036.363636363637,6036.363636363637,-13.983687744996601,-13.2801488731184,43435.41741144663,3659.461770920695,4.999999997282665e-09,3.4417551756987,22.98616596010272,43243.6468991152,3510.924804829152,5e-09,3.4417551756987,22.728954025827484
C1,84,6109.09090909091,6109.09090909091,-13.996840683270918,-13.266995934844083,43651.71624077727,3426.879788950672,4.999999997400342e-09,3.427927433100535,23.26879756038825,43448.81703524019,3286.080374969314,5e-09,3.427927433100535,22.99710700368569
C1,85,6181.818181818182,6181.818181818182,-14.007128183975826,-13.256708434139174,43868.180622421074,3194.112141116071,4.9999999969310186e-09,3.4128361770839284,23.55166593278468,43653.821531882655,3061.4252051341996,5e-09,3.4128361770839284,23.265023209432993
C1,86,6254.545454545455,6254.545454545455,-14.014054068050147,-13.249782550064854,44084.75960800953,2961.2121753233346,4.999999996862231e-09,3.396347436210854,23.83470817775464,43858.711364237264,2836.9049146969883,5e-09,3.3963474362108546,23.53276554260677
C1,87,6327.272727272728,6327.272727272728,-14.01724338447591,-13.246593233639091,44301.39618158385,2728.240065397718,4.9999999973218325e-09,3.378315623284098,24.117852596467024,44063.54357828409,2612.4581649744096,5e-09,3.378315623284098,23.800405702038127
C1,88,6400.000000000001,6400.000000000001,-14.01652495854187,-13.24731165957313,44518.030381481345,2495.259665320682,4.999999997270035e-09,3.3585816555662698,24.401021973669224,44268.3781672575,2388.0198658858567,5e-09,3.3585816555662693,24.068020902979665
C1,89,6472.727272727273,6472.727272727273,-14.012056369965636,-13.251780248149364,44734.603378362975,2262.334412328961,4.999999997407265e-09,3.3369672293059267,24.684138956785457,44473.27399147227,2163.525352162724,5e-09,3.3369672293059267,24.335688498007162
C1,90,6545.454545454546,6545.454545454546,-14.00452466157059,-13.25931195654441,44951.06518194581,2029.519573784015,4.999999997393821e-09,3.3132604341549663,24.967134724780774,44678.28106753312,1938.918286565957,5e-09,3.3132604341549667,24.603477308155586
C1,91,6618.181818181819,6618.181818181819,-13.995641057177583,-13.268195560937418,45167.38330396818,1796.8540240499105,4.999999996359492e-09,3.287178154620639,25.249964681535808,44883.43190080822,1714.1590421931423,5e-09,3.287178154620639,24.871431929544293
C1,92,6690.909090909092,6690.909090909092,-13.988852926289198,-13.274983691825803,45383.58499570428,1564.316704765681,4.999999996751046e-09,3.258267433959779,25.532636337934463,45088.69922567416,1489.2690850575468,5e-09,3.2582674339597784,25.139544851289376
C1,93,6763.636363636364,6763.636363636364,-13.992297469126962,-13.271539148988039,45599.79401758056,1331.7931673033331,4.999999997486721e-09,3.225626721392643,25.815274220716443,45293.95921654042,1264.3650793085671,5e-09,3.2256267213926435,25.40769154665113
C1,94,6836.363636363637,6836.363636363637,-14.025515281171966,-13.238321336943034,45816.389167833775,1098.920825555711,4.999999997251181e-09,3.187054302309594,26.09828243031542,45498.8328757189,1039.816630073977,5e-09,3.1870543023095936,25.67546791519589
C1,95,6909.09090909091,6909.09090909091,-14.134446193517096,-13.129390424597904,46034.348801921435,864.7545130526854,4.999999996659708e-09,3.1360519953547317,26.38272648561531,45702.34133261293,816.587200561765,5e-09,3.1360519953547317,25.941808438039736
C1,96,6981.818181818182,6981.818181818182,-14.369434410347113,-12.894402207767888,46255.60502351887,627.3742400945033,4.9999999973701315e-09,3.0487094411831435,26.670644471512926,45902.55146622391,596.633948049357,5e-09,3.048709441183143,26.204675030285852
C1,97,7054.545454545455,7054.545454545455,-14.3531798548165,-12.910656763298501,46478.88751441162,387.5236186347656,4.999999997632498e-09,2.7977177207046053,26.96077188833276,46100.73426363518,379.19886558142287,5e-09,2.7977177207046044,26.465332191609757
C1,98,7105.427965547226,7105.427965547226,-13.965489211278953,-13.298347406836047,46630.18506159857,223.9438091369518,4.9999999988740485e-09,2.0000100000000187,27.160900359209307,46244.31097358964,222.7639623473075,5e-09,2.000010000000019,26.65055162814203
C1,0,7105.427965547226,0.0,13.185187110873223,14.078649507241778,46630.18506159857,223.9438091369518,4.9999999988740485e-09,2.6686357439351136,0.0,46244.31097358964,222.7639623473075,5e-09,2.6686357439351136,0.0
C1,1,7178.155238274499,72.72727272727273,13.82395577723644,13.43988084087856,46346.22872075086,491.72319357581847,5.000000504240736e-09,3.5549824995847454,-0.0,45966.80538818416,489.4883167132366,5.0000004812184624e-09,3.5549824995847454,-0.0
C1,2,7250.8825110017715,145.45454545454547,13.847185904295564,13.416650713819436,46131.24671905685,721.8138798590364,5.000011861871811e-09,3.6703465254425702,-0.0,45758.412191442345,716.8991221387168,5.000011374298414e-09,3.6703465254425707,-0.0
C1,3,7323.6097837290445,218.1818181818182,13.847912651748349,13.41592396636665,45917.168111214734,952.0023368695141,5.0000516049972256e-09,3.718771699335359,-0.0,45550.9712869028,944.1806117670656,5.000049670854636e-09,3.718771699335359,-0.0
C1,4,7396.337056456317,290.90909090909093,13.83883406837706,13.42500254973794,45703.25388204445,1182.0748252113867,5.000130464164938e-09,3.74999730536178,-0.0,45343.41392571695,1171.5777615327181,5.0001258495975614e-09,3.74999730536178,-0.0
C1,5,7469.06432918359,363.6363636363637,13.827893196531864,13.435943421583136,45489.517599585866,1411.9650881465684,5.000260082905438e-09,3.775011859189661,-0.0,45135.6798561209,1399.1573660422257,5.000251227489298e-09,3.7750118591896604,-0.0
C1,6,7541.7916019108625,436.3636363636364,13.818528538580045,13.445308079534955,45275.93632405056,1641.6840050417322,5.000457221237087e-09,3.796902866196469,-0.0,44927.79073457412,1626.9072419947863,5.000442089873492e-09,3.796902866196469,-0.0
C1,7,7614.5188746381355,509.0909090909091,13.811650711118842,13.452185906996158,45062.468604175585,1871.271371265751,5.000743051042433e-09,3.8166775417729477,-0.0,44719.78799829294,1854.7854579997413,5.000719055518858e-09,3.8166775417729477,-0.0
C1,8,7687.246147365408,581.8181818181819,13.807131393306179,13.456705224808822,44849.073846183244,2100.7699704863176,5.001139023197352e-09,3.8347176573435107,-0.0,44511.71226173002,2082.7470272873475,5.001103078981639e-09,3.834717657343511,-0.0
C1,9,7759.973420092681,654.5454545454546,13.804572913918545,13.459263704196456,44635.72259159879,2330.2114765129927,5.001673599643814e-09,3.851206440644488,-0.0,44303.592998853586,2310.7578604902515,5.00162199799906e-09,3.8512064406444875,-0.0
C1,10,7832.7006928199535,727.2727272727274,13.803516353872702,13.460320264242299,44422.39038538389,2559.6225969111997,5.002375147396044e-09,3.866265022002362,-0.0,44095.45467757785,2538.788950025794,5.002303636947047e-09,3.866265022002363,-0.0
C1,11,7905.427965547226,800.0000000000001,13.803571867114762,13.460264751000238,44209.059151897054,2789.0230432346125,5.003271784127412e-09,3.879996832477234,-0.0,43887.315383061774,2766.8184493789513,5.0031756464649e-09,3.879996832477233,-0.0
