,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
10,727.2727272727274,727.2727272727274,7.432361340921002,-54.52767323623,-27.175370645540653,-27.352302590689348,30132.75212031074,18084.691426303405,5.000000000011526e-09,3.716401672659913,5.486468842208575,30128.86865564466,18063.903030532223,5.000000000053176e-09,3.7163639939449125,5.529222720666175,30093.211073344806,17953.46113518241,5.00000000000007e-09,3.7159596682610894,5.486468842208575,30150.989447033877,18093.6763238446,4.999999999757386e-09,3.71599734697609,5.529222720666175
11,800.0000000000001,800.0000000000001,7.40954461160662,-54.52767323623,-27.17682409001778,-27.350849146212216,30554.358352325748,17639.299419171686,5.000000000010588e-09,3.704980847389808,6.0354809102445195,30549.559172959307,17617.038733722333,5.000000000053193e-09,3.704968685838342,6.081779808917705,30510.989570165515,17495.15511743664,5.000000000002108e-09,3.704563764216812,6.0354809102445195,30573.818603454696,17649.73817963582,4.999999999757246e-09,3.704575925768278,6.081779808917705
12,872.7272727272727,872.7272727272727,7.387314320543064,-54.52767323623,-27.178060388026047,-27.34961284820395,30975.983769405346,17193.886519839434,5.00000000001101e-09,3.6938540551790897,6.584520147396477,30970.23066865601,17170.195264442093,5.0000000000542516e-09,3.693865956339345,6.634309728053221,30928.787077870864,17036.82760172728,5.000000000004647e-09,3.6934602653639748,6.584520147396477,30996.628641558622,17205.820726574064,4.999999999755067e-09,3.6934483642037192,6.634309728053221
13,945.4545454545455,945.4545454545455,7.365631381874806,-54.52767323623,-27.179105028659478,-27.34856820757052,31397.625402684345,16748.455942556066,5.000000000011187e-09,3.683001723473423,7.133582424332694,31390.886086307397,16723.369418391438,5.0000000000528545e-09,3.683036276506787,7.186816607404479,31346.60065454968,16578.481895499892,5.000000000004418e-09,3.682629658401383,7.133582424332694,31419.42251988219,16761.920781342153,4.999999999748169e-09,3.6825951053680193,7.186816607404479
14,1018.1818181818182,1018.1818181818182,7.344464757090382,-54.52767323623,-27.179974974231097,-27.347698261998904,31819.280543890203,16303.010601192525,5.000000000010016e-09,3.672408348024932,7.682664040523508,31811.528111112144,16276.55829071932,5.000000000050527e-09,3.6724641267705116,7.73930414750114,31764.427616517998,16120.120997112335,5.000000000007515e-09,3.67205640906545,7.682664040523508,31842.202937275037,16318.035458109924,4.999999999747311e-09,3.67200063031987,7.73930414750114
15,1090.909090909091,1090.909090909091,7.323789302083509,-54.52767323623,-27.180679853705534,-27.346993382524467,32240.94661014544,15857.553256563631,5.000000000009704e-09,3.6620614164109226,8.23176156403802,32232.159303943747,15829.759129157354,5.0000000000495945e-09,3.6621369230399914,8.291775780274104,32182.2654043478,15661.747747427968,5.00000000001095e-09,3.6617278856725863,8.23176156403802,32264.972467628435,15874.162022631293,4.999999999749378e-09,3.6616523790435176,8.291775780274104
16,1163.6363636363637,1163.6363636363637,7.3035840519622885,-54.52767323623,-27.181222127883,-27.346451108347004,32662.621036327953,15412.086631445021,5.00000000001016e-09,3.651950555154076,8.780871685064167,32652.78220807026,15382.969219357801,5.000000000047344e-09,3.6520441600071507,8.844234815535433,32600.111476205675,15203.364948168855,5.000000000012269e-09,3.6516334968082127,8.780871685064167,32687.733667140066,15430.297778332542,4.999999999747094e-09,3.6515398919551387,8.844234815535433
17,1236.3636363636365,1236.3636363636365,7.283830808295081,-54.52767323623,-27.181595929488022,-27.346077306741982,33084.30125685472,14966.61342457758,5.000000000010118e-09,3.6420668328217816,9.329991059381046,33073.39936721742,14936.185870933694,5.000000000045112e-09,3.6421767042160553,9.39668459750603,33017.96328980139,14744.975376324943,5.0000000000116964e-09,3.6417639754732987,9.329991059381046,33110.48909246706,14986.44005244405,4.999999999747428e-09,3.6416541040790245,9.39668459750603
18,1309.0909090909092,1309.0909090909092,7.264512926451601,-54.52767323623,-27.18178642426434,-27.34588681196566,33505.984482374835,14521.136548232367,5.000000000008062e-09,3.632402168385286,9.879116133661373,33494.01354697222,14489.406180628352,5.000000000045212e-09,3.6325261858094295,9.949128679513176,33435.818081108046,14286.582028607956,5.000000000012508e-09,3.6321107580663146,9.879116133661373,33533.241523255616,14542.585960720293,4.999999999747697e-09,3.6319867406421706,9.949128679513176
19,1381.818181818182,1381.818181818182,7.245614224084802,-54.52767323623,-27.181767868874193,-27.345905367355805,33927.667532654435,14075.659298966064,5.000000000007159e-09,3.6229488062038318,10.428242944703177,33914.62790047453,14042.626862089766,5.000000000043796e-09,3.6230844494080463,10.501571024758848,33853.67269876528,13828.188297157221,5.000000000009871e-09,3.6226654178809707,10.428242944703177,33955.994128674836,14098.732238329054,4.9999999997490095e-09,3.6225297746767553,10.501571024758848
