Time,Concentration,Voltage,I_INT,I_SEI,Length
9108.43373493976,18060.975028857207,0.23884096712454714,0.06682032939814815,0.0,5e-09
9253.012048192772,18030.936876245567,0.23880494962385906,0.06682032939814815,0.0,5e-09
9397.590361445784,18000.89872363393,0.238768932123171,0.06682032939814815,0.0,5e-09
9542.168674698796,17970.860571022295,0.23873291462248292,0.06682032939814815,0.0,5e-09
9686.746987951808,17940.82241841066,0.23869689712179484,0.06682032939814815,0.0,5e-09
9831.325301204819,17910.784265799022,0.23866087962110677,0.06682032939814815,0.0,5e-09
9975.903614457831,17880.746113187382,0.2386248621204187,0.06682032939814815,0.0,5e-09
10120.481927710844,17850.707960575746,0.23858884461973062,0.06682032939814815,0.0,5e-09
10265.060240963856,17820.66980796411,0.23855282711904255,0.06682032939814815,0.0,5e-09
10409.638554216868,17790.63165535309,0.23851799211997673,0.06682032939814815,0.0,5e-09
