,,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage
C1,55,4000.0000000000005,37334.452703029725,10102.496916626451,5e-09,3.6214119034627505
C1,56,4072.727272727273,37543.30024718616,9875.769220851958,5e-09,3.617315417976488
C1,57,4145.454545454546,37752.14779134265,9649.041525077471,5e-09,3.6132176503103763
C1,58,4218.181818181819,37960.995335498905,9422.31382930289,5e-09,3.6091116923924687
C1,59,4290.909090909091,38169.84287965538,9195.586133528417,5e-09,3.6049898239941487
C1,60,4363.636363636364,38378.690423811655,8968.858437753883,5e-09,3.6008434189415612
C1,61,4436.363636363637,38587.53796796823,8742.130741979352,5e-09,3.5966628410210966
C1,62,4509.09090909091,38796.38551212482,8515.403046204858,5e-09,3.592437328487936
C1,63,4581.818181818182,39005.233056281424,8288.675350430334,5e-09,3.588154391349645
C1,64,4654.545454545455,39214.08060043793,8061.9476546558035,5e-09,3.583801431913667
C1,65,4727.272727272728,39422.92814459429,7835.219958881282,5e-09,3.579362816185582
C1,66,4800.0,39631.775688750735,7608.492263106788,5e-09,3.574822021596597
C1,67,4872.727272727273,39840.62323290719,7381.764567332221,5e-09,3.5701604139816276
C1,68,4945.454545454546,40049.47077706364,7155.0368715576715,5e-09,3.56535721644099
C1,69,5018.181818181819,40258.31832122012,6928.309175783153,5e-09,3.560389229022804
C1,70,5090.909090909091,40467.16586537656,6701.581480008627,5e-09,3.555230642131112
C1,71,5163.636363636364,40676.01340953289,6474.853784234086,5e-09,3.5498527329203626
C1,72,5236.363636363637,40884.86095368934,6248.126088459554,5e-09,3.5442235497295043
C1,73,5309.09090909091,41093.70849784565,6021.398392685015,5e-09,3.5383075733891873
C1,74,5381.818181818182,41302.55604200215,5794.670696910502,5e-09,3.532065366673466
C1,75,5454.545454545455,41511.40358615884,5567.943001135986,5e-09,3.5254530993432924
C1,76,5527.272727272728,41720.25113031526,5341.215305361482,5e-09,3.5184222514551293
C1,77,5600.000000000001,41929.098674471665,5114.487609586971,5e-09,3.510919064998803
C1,78,5672.727272727273,42137.94621862812,4887.759913812451,5e-09,3.5028840883031487
C1,79,5745.454545454546,42346.79376278464,4661.032218037916,5e-09,3.4942516400458876
C1,80,5818.181818181819,42555.641306941114,4434.304522263383,5e-09,3.484949383036669
C1,81,5890.909090909091,42764.488851097536,4207.576826488838,5e-09,3.474897714563336
C1,82,5963.636363636364,42973.33639525401,3980.8491307143386,5e-09,3.4640093243565104
C1,83,6036.363636363637,43182.18393941034,3754.1214349397965,5e-09,3.452188584728285
C1,84,6109.09090909091,43391.03148356682,3527.3937391652953,5e-09,3.439331336154828
C1,85,6181.818181818182,43599.879027723226,3300.666043390791,5e-09,3.425324267956724
C1,86,6254.545454545455,43808.72657187971,3073.9383476162698,5e-09,3.410044273912415
C1,87,6327.272727272728,44017.57411603616,2847.2106518417613,5e-09,3.393358639756928
C1,88,6400.000000000001,44226.421660192675,2620.4829560672365,5e-09,3.375123065701019
C1,89,6472.727272727273,44435.2692043492,2393.7552602927176,5e-09,3.355179475207426
C1,90,6545.454545454546,44644.11674850574,2167.0275645181955,5e-09,3.333349304330699
C1,91,6618.181818181819,44852.96429266221,1940.2998687436761,5e-09,3.3094167547695337
C1,92,6690.909090909092,45061.81183681888,1713.5721729691636,5e-09,3.283085473600847
C1,93,6763.636363636364,45270.65938097532,1486.8444771946506,5e-09,3.253864219077145
C1,94,6836.363636363637,45479.50692513187,1260.1167814201438,5e-09,3.2207433315867924
C1,95,6909.09090909091,45688.35446928837,1033.3890856456392,5e-09,3.1811929121336564
C1,96,6981.818181818182,45897.2020134448,806.6613898711274,5e-09,3.1275643240419115
C1,97,7054.545454545455,46106.04955760119,579.9336940966217,5e-09,3.0307188197018236
C1,98,7127.272727272728,46314.89710175768,353.20599832211,5e-09,2.7260125590184616
C1,99,7168.966272570971,46434.62652672001,223.22612832767393,5e-09,2.0000099999999867
C2,0,0.0,46434.62652672001,223.22612832767393,5e-09,2.66659052986921
C2,1,72.72727272727273,46156.409960288234,488.11990499891397,5.000000466055005e-09,3.551920960509419
C2,2,145.45454545454547,45946.61793242556,714.860881100287,5.0000111664665136e-09,3.6681780519695195
C2,3,218.1818181818182,45737.74679238981,941.5872233689853,5.00004902999475e-09,3.716865713121117
C2,4,290.90909090909093,45528.898593877595,1168.3123404682608,5.000124439110568e-09,3.7481150141985613
C2,5,363.6363636363637,45320.0510318659,1395.0358702697365,5.000248451334096e-09,3.773073272273816
C2,6,436.3636363636364,45111.203487355524,1621.7572918328883,5.000436962627173e-09,3.794890253485196
C2,7,509.0909090909091,44902.355943190225,1848.4759530333336,5.000710117732307e-09,3.8145977009770458
C2,8,581.8181818181819,44693.508399033686,2075.1911959376957,5.001088398773869e-09,3.8325862805822917
C2,9,654.5454545454546,44484.660854877235,2301.9021556046946,5.0015990737898404e-09,3.849041311477947
C2,10,727.2727272727274,44275.81331072055,2528.6079729086982,5.002269464415054e-09,3.864083053397134
C2,11,800.0000000000001,44066.96576656403,2755.3077989610265,5.0031268107066595e-09,3.8778128125632323
C2,12,872.7272727272727,43858.118222407466,2982.000841271221,5.004196791901162e-09,3.8903274830244823
C2,13,945.4545454545455,43649.270678250694,3208.686405274738,5.005502168298546e-09,3.9017229050059687
C2,14,1018.1818181818182,43440.42313409405,3435.3639386757623,5.007061314085839e-09,3.9120935945209947
C2,15,1090.909090909091,43231.575589937376,3662.0330343123464,5.00888806693753e-09,3.9215315801076986
C2,16,1163.6363636363637,43022.72804578083,3888.693445967077,5.010991163701417e-09,3.9301251653054337
C2,17,1236.3636363636365,42813.880501624175,4115.345074563358,5.013374624666444e-09,3.93795832982502
C2,18,1309.0909090909092,42605.03295746755,4341.987985860258,5.01603714078306e-09,3.9451095791086295
C2,19,1381.818181818182,42396.18541331096,4568.622379422965,5.0189730331969275e-09,3.9516521491614087
C2,20,1454.5454545454547,42187.33786915441,4795.248565473947,5.022172971703669e-09,3.9576537772773115
C2,21,1527.2727272727275,41978.490324998034,5021.8669489916365,5.025624473765904e-09,3.9631766323194517
C2,22,1600.0000000000002,41769.64278084137,5248.478001718018,5.0293127993073425e-09,3.9682776589489284
C2,23,1672.727272727273,41560.795236684775,5475.0822491288545,5.03322137292072e-09,3.973008742731623
C2,24,1745.4545454545455,41351.94769252812,5701.680234523671,5.037332947345211e-09,3.9774170509264755
C2,25,1818.1818181818182,41143.10014837147,5928.272506595144,5.041630013716978e-09,3.9815452874407757
C2,26,1890.909090909091,40934.252604214984,6154.8596074227535,5.046095200931942e-09,3.985432079118978
C2,27,1963.6363636363637,40725.40506005835,6381.442061100458,5.050711655109188e-09,3.989112274643194
C2,28,2036.3636363636365,40516.55751590176,6608.020369808251,5.055463179557152e-09,3.9926172752101983
C2,29,2109.0909090909095,40307.70997174513,6834.5949950030945,5.060334849176546e-09,3.995975270290227
C2,30,2181.818181818182,40098.862427588465,7061.1663641581135,5.065312805557673e-09,3.9992116102397874
C2,31,2254.545454545455,39890.01488343187,7287.734865602811,5.070384431270064e-09,4.002349017556699
C2,32,2327.2727272727275,39681.167339275285,7514.300847812334,5.075538379740241e-09,4.005407844591047
C2,33,2400.0,39472.31979511871,7740.864619805789,5.080764568117658e-09,4.008406300449281
C2,34,2472.727272727273,39263.472250962106,7967.426655486842,5.086047635859313e-09,4.0113606597239135
C2,35,2545.4545454545455,39054.62470680558,8193.986969403704,5.091386959026307e-09,4.014285452550287
C2,36,2618.1818181818185,38845.77716264906,8420.545763126003,5.096775898274654e-09,4.017193639778005
C2,37,2690.909090909091,38636.92961849247,8647.10320670176,5.102208854515776e-09,4.020096742647952
C2,38,2763.636363636364,38428.082074335965,8873.659441876473,5.107681144101622e-09,4.023005109984846
C2,39,2836.3636363636365,38219.23453017938,9100.214582951028,5.113188974145941e-09,4.0259278471534765
C2,40,2909.0909090909095,38010.38698602279,9326.768719858746,5.118729343085922e-09,4.028873082175305
C2,41,2981.818181818182,37801.53944186653,9553.321795716718,5.124303956802074e-09,4.031847955607415
C2,42,3054.545454545455,37592.691897709796,9779.87398998918,5.129906967370903e-09,4.034859043338298
C2,43,3127.2727272727275,37383.8443535532,10006.425330663926,5.1355373924228596e-09,4.0379119191640855
C2,44,3200.0000000000005,37174.996809396784,10232.975829816793,5.141194762378652e-09,4.041011601319385
C2,45,3272.727272727273,36966.14926524028,10459.525485436057,5.146879066546583e-09,4.044162530980256
C2,46,3345.454545454546,36757.30172108369,10686.074282911557,5.1525907047274084e-09,4.047368635799135
C2,47,3418.1818181818185,36548.454176927204,10912.622309918797,5.15832681784355e-09,4.050633401940012
C2,48,3490.909090909091,36339.60663277054,11139.169420402175,5.164092014786892e-09,4.053959891610279
C2,49,3563.636363636364,36130.75908861398,11365.715570477543,5.1698876514268906e-09,4.057350815396106
C2,50,3636.3636363636365,35921.91154445739,11592.260707923326,5.175715352912327e-09,4.06080856571055
C2,51,3709.0909090909095,35713.06400030079,11818.804772855945,5.181576993528906e-09,4.064335251053129
C2,52,3781.818181818182,35504.216456144284,12045.34769895405,5.18747465665509e-09,4.067932754925601
C2,53,3854.545454545455,35295.368911987716,12271.889413555622,5.193410631498164e-09,4.071602730562719
C2,54,3927.2727272727275,35086.52136783131,12498.42983851659,5.199387384859681e-09,4.075346660755598
C2,55,4000.0000000000005,34877.67382367487,12724.968889989905,5.2054075680959335e-09,4.079165851380594
C2,56,4072.727272727273,34668.826279518384,12951.50647938471,5.211473985658842e-09,4.083061495872982
C2,57,4145.454545454546,34459.97873536177,13178.042513440763,5.217589592640904e-09,4.087034670105932
C2,58,4218.181818181819,34251.13119120515,13404.576894435744,5.223757487762178e-09,4.09108635990345
C2,59,4290.909090909091,34042.28364704865,13631.109520338974,5.229980908164587e-09,4.095217480336007
C2,60,4363.636363636364,33833.43610289216,13857.64028491454,5.236263225846123e-09,4.099428893937671
C2,61,4373.220824689244,33805.91284953898,13887.493792981912,5.2370959664044374e-09,4.099989999999999
