,,Global Time,Time,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode vConcentration","Cell 2,1 Anode vConcentration","Cell 2,1 Anode vSEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode vConcentration","Cell 2,2 Anode vConcentration","Cell 2,2 Anode vSEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
C2,25,17361.648375159133,1818.1818181818182,-13.631918309054052,-13.63191830906095,33877.1863973358,13834.106290013213,5.444711798176399e-09,3.692803919279444,6.8848072267938525,33877.186397335914,13834.106290006785,5.444711790757052e-09,3.692803919279673,6.884807226799583,33877.18639733307,13834.106290013973,5.444711792606224e-09,3.692803919279722,6.8848072267938525,33877.18639733767,13834.106290006781,5.4447117944089e-09,3.6928039192794944,6.884807226799583
C2,26,17434.375647886405,1890.909090909091,-13.631918309054237,-13.631918309060765,34086.03394149219,13607.378594238766,5.444711798177086e-09,3.688174697238346,7.160199515865654,34086.03394149225,13607.378594232256,5.444711790757176e-09,3.6881746972385767,7.160199515871519,34086.03394148945,13607.378594239448,5.444711792606122e-09,3.6881746972386242,7.160199515865654,34086.0339414942,13607.378594232194,5.4447117944088266e-09,3.6881746972383933,7.160199515871519
C2,27,17507.102920613677,1963.6363636363637,-13.631918309054548,-13.63191830906045,34294.88148564852,13380.65089846421,5.444711798177126e-09,3.6835941671888546,7.435591804937459,34294.881485648664,13380.65089845769,5.444711790757647e-09,3.6835941671890864,7.435591804943451,34294.88148564569,13380.650898465019,5.4447117926051435e-09,3.683594167189132,7.435591804937459,34294.88148565085,13380.650898457568,5.444711794409188e-09,3.6835941671889,7.435591804943451
C2,28,17579.83019334095,2036.3636363636365,-13.631918309054575,-13.631918309060424,34503.729029804985,13153.923202689759,5.444711798177086e-09,3.6790610606856227,7.710984094009269,34503.729029805116,13153.92320268307,5.444711790757751e-09,3.679061060685855,7.710984094015379,34503.72902980224,13153.923202690477,5.4447117926051146e-09,3.679061060685898,7.710984094009269,34503.729029807415,13153.923202682969,5.4447117944086305e-09,3.6790610606856657,7.710984094015379
C2,29,17652.55746606822,2109.0909090909095,-13.63191830905466,-13.631918309060342,34712.57657396144,12927.195506915294,5.4447117981767004e-09,3.6745740115911185,7.98637638308108,34712.57657396159,12927.195506908549,5.4447117907581576e-09,3.674574011591354,7.986376383087308,34712.576573958664,12927.19550691601,5.4447117926047705e-09,3.674574011591396,7.98637638308108,34712.57657396393,12927.195506908327,5.444711794409726e-09,3.674574011591161,7.986376383087308
C2,30,17725.284738795497,2181.818181818182,-13.631918309054747,-13.631918309060255,34921.42411811773,12700.467811140816,5.444711798177347e-09,3.6701315360833804,8.261768672152892,34921.42411811805,12700.467811134002,5.444711790757318e-09,3.6701315360836126,8.261768672159231,34921.42411811513,12700.467811141538,5.44471179260486e-09,3.6701315360836544,8.261768672152892,34921.42411812038,12700.467811133749,5.444711794410777e-09,3.6701315360834212,8.261768672159231
C2,31,17798.01201152277,2254.545454545455,-13.631918309054674,-13.631918309060326,35130.27166227408,12473.740115366361,5.444711798178303e-09,3.66573201132285,8.537160961224705,35130.27166227444,12473.740115359496,5.444711790759221e-09,3.6657320113230774,8.537160961231157,35130.27166227157,12473.740115367089,5.444711792603957e-09,3.6657320113231173,8.537160961224705,35130.271662276835,12473.74011535913,5.44471179441063e-09,3.6657320113228895,8.537160961231157
C2,32,17870.73928425004,2327.2727272727275,-13.631918309054653,-13.631918309060348,35339.11920643047,12247.012419591776,5.444711798179386e-09,3.6613736525158194,8.812553250296515,35339.11920643077,12247.012419584924,5.44471179075972e-09,3.66137365251605,8.812553250303083,35339.11920642798,12247.01241959258,5.4447117926016975e-09,3.6613736525160894,8.812553250296515,35339.11920643329,12247.012419584507,5.444711794410949e-09,3.6613736525158593,8.812553250303083
C2,33,17943.466556977313,2400.0,-13.631918309054608,-13.631918309060392,35547.96675058709,12020.2847238173,5.444711798179644e-09,3.6570544881690026,9.087945539368325,35547.96675058731,12020.284723810397,5.44471179076036e-09,3.6570544881692335,9.087945539375008,35547.96675058445,12020.284723818026,5.444711792601445e-09,3.657054488169274,9.087945539368325,35547.96675058976,12020.284723809937,5.444711794411288e-09,3.6570544881690425,9.087945539375008
C2,34,18016.193829704585,2472.727272727273,-13.631918309054706,-13.631918309060294,35756.81429474358,11793.557028042853,5.444711798178623e-09,3.6527723327977974,9.363337828440137,35756.81429474385,11793.557028035826,5.444711790760243e-09,3.652772332798027,9.363337828446936,35756.814294740805,11793.55702804354,5.444711792601027e-09,3.6527723327980697,9.363337828440137,35756.814294746146,11793.557028035275,5.444711794411386e-09,3.6527723327978405,9.363337828446936
C2,35,18088.921102431857,2545.4545454545455,-13.631918309054859,-13.631918309060142,35965.66183890002,11566.829332268298,5.4447117981749294e-09,3.648524624916719,9.638730117511951,35965.66183890053,11566.829332261319,5.444711790762176e-09,3.6485246249169454,9.638730117518858,35965.661838897155,11566.829332269004,5.444711792598882e-09,3.648524624916991,9.638730117511951,35965.66183890258,11566.82933226071,5.444711794414256e-09,3.6485246249167647,9.638730117518858
C2,36,18161.648375159133,2618.1818181818185,-13.631918309054774,-13.631918309060227,36174.50938305648,11340.10163649379,5.4447117981690565e-09,3.6443089640782302,9.914122406583767,36174.509383057055,11340.101636486756,5.444711790762196e-09,3.6443089640784594,9.914122406590781,36174.50938305377,11340.101636494528,5.444711792599747e-09,3.6443089640785034,9.914122406583767,36174.50938305925,11340.10163648619,5.444711794415421e-09,3.644308964078274,9.914122406590781
C2,37,18234.375647886405,2690.909090909091,-13.631918309054953,-13.63191830906005,36383.35692721293,11113.373940719244,5.444711798166228e-09,3.6401221577916183,10.189514695655582,36383.35692721351,11113.37394071222,5.444711790762532e-09,3.640122157791847,10.189514695662703,36383.35692721022,11113.373940719994,5.444711792601066e-09,3.64012215779189,10.189514695655582,36383.356927215726,11113.373940711577,5.444711794415064e-09,3.640122157791661,10.189514695662703
C2,38,18307.102920613677,2763.636363636364,-13.63191830905502,-13.63191830905998,36592.204471369565,10886.646244944754,5.444711798164022e-09,3.6359608391459353,10.464906984727401,36592.20447137004,10886.646244937669,5.4447117907577415e-09,3.635960839146165,10.464906984734624,36592.20447136658,10886.646244945483,5.444711792599153e-09,3.63596083914621,10.464906984727401,36592.204471372286,10886.646244937017,5.444711794418537e-09,3.6359608391459797,10.464906984734624
C2,39,18379.83019334095,2836.3636363636365,-13.631918309055111,-13.631918309059888,36801.052015525995,10659.918549170277,5.444711798162481e-09,3.631821247603255,10.74029927379922,36801.05201552662,10659.918549163092,5.444711790754483e-09,3.631821247603485,10.74029927380654,36801.05201552303,10659.918549170898,5.444711792601079e-09,3.631821247603529,10.74029927379922,36801.05201552881,10659.918549162534,5.444711794419967e-09,3.6318212476033,10.74029927380654
C2,40,18452.55746606822,2909.0909090909095,-13.63191830905523,-13.63191830905977,37009.89955968239,10433.190853395705,5.444711798159869e-09,3.627699181052531,11.015691562871043,37009.8995596831,10433.190853388513,5.444711790754586e-09,3.6276991810527592,11.015691562878457,37009.89955967955,10433.190853396398,5.444711792602419e-09,3.6276991810528014,11.015691562871043,37009.89955968533,10433.190853388034,5.44471179441949e-09,3.6276991810525727,11.015691562878457
C2,41,18525.284738795497,2981.818181818182,-13.631918309055175,-13.631918309059827,37218.74710383889,10206.463157621172,5.444711798162326e-09,3.6235899426895872,11.291083851942863,37218.747103839596,10206.463157613984,5.44471179075546e-09,3.6235899426898164,11.291083851950372,37218.74710383612,10206.463157621914,5.4447117926036836e-09,3.6235899426898586,11.291083851942863,37218.74710384185,10206.463157613469,5.444711794418329e-09,3.6235899426896303,11.291083851950372
C2,42,18598.01201152277,3054.545454545455,-13.63191830905548,-13.63191830905952,37427.59464799514,9979.735461846665,5.4447117981624986e-09,3.619488282117091,11.56647614101469,37427.59464799616,9979.735461839375,5.4447117907557554e-09,3.6194882821173153,11.566476141022285,37427.59464799238,9979.735461847391,5.444711792604622e-09,3.61948828211736,11.56647614101469,37427.59464799829,9979.735461838898,5.444711794416465e-09,3.6194882821171364,11.566476141022285
C2,43,18670.73928425004,3127.2727272727275,-13.631918309055642,-13.631918309059357,37636.442192151524,9753.007766072184,5.44471179816188e-09,3.6153883299939875,11.841868430086517,37636.442192152754,9753.007766064804,5.444711790754166e-09,3.6153883299942104,11.841868430094193,37636.44219214888,9753.00776607294,5.4447117926040856e-09,3.615388329994253,11.841868430086517,37636.442192154784,9753.007766064364,5.4447117944152455e-09,3.6153883299940297,11.841868430094193
