Time,Cathode vConcentration,Cathode vPhi
16481.927710843374,34122.74842481868,3.984670582696864
16626.506024096387,34195.843731306755,3.983314040005943
16771.0843373494,34268.93903779483,3.981957926704786
16915.66265060241,34342.034344282416,3.9806106735048896
17060.240963855424,34415.129650770046,3.9792694368260375
17204.819277108436,34488.224957258106,3.977936688810854
17349.39759036145,34561.32026374618,3.976604363272758
17493.975903614457,34634.41557023384,3.97528075689941
17638.55421686747,34707.51087672156,3.973963072320183
17783.13253012048,34780.606183209355,3.972653743834882
17927.710843373494,34853.70148969717,3.971344831229325
18072.289156626506,34926.79679618518,3.9700445024948072
18216.86746987952,34999.89210267297,3.9687500040868993
18361.44578313253,35072.98740916065,3.9674637330218174
18506.024096385543,35146.082715648314,3.966177871428749
18650.602409638555,35219.178022136104,3.9649004615400885
