,,Global Time,Time,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,3 Anode vSEI Length","Cell 1,3 Voltage","Cell 1,4 Anode vSEI Length","Cell 1,4 Voltage"
C1,71,5163.636363636364,5163.636363636364,-13.69095887716956,-13.413456880659117,-13.521687851519237,-13.901569626882088,5.000000000080868e-09,3.5482269358903693,4.9999999994644685e-09,3.54822693589037,5.00000000066853e-09,3.5482269358903706,4.999999999996077e-09,3.548226935890371
C1,72,5236.363636363637,5236.363636363637,-13.688140542460278,-13.398262323354986,-13.507422811593573,-13.933847558821165,5.000000000611976e-09,3.5425330734756137,4.999999998910929e-09,3.5425330734756133,5.000000001201877e-09,3.5425330734756133,4.999999999609751e-09,3.542533073475614
C1,73,5309.09090909091,5309.09090909091,-13.684994132575788,-13.381742639020821,-13.491903899054828,-13.969032565578564,5.000000001146735e-09,3.536544758977785,4.999999999109748e-09,3.536544758977785,5.000000002088758e-09,3.5365447589777856,4.999999999403059e-09,3.5365447589777856
C1,74,5381.818181818182,5381.818181818182,-13.6814991408144,-13.363911790002602,-13.475141532443118,-14.00712077296988,5.000000001464124e-09,3.530221719334888,4.999999998847362e-09,3.5302217193348886,5.000000002468868e-09,3.5302217193348877,4.999999999143676e-09,3.5302217193348877
C1,75,5454.545454545455,5454.545454545455,-13.677640179985891,-13.344821514886213,-13.457181404515277,-14.04803013684262,5.000000001383247e-09,3.523519215947832,4.999999998460729e-09,3.523519215947831,5.000000002409802e-09,3.523519215947831,4.999999999129179e-09,3.523519215947831
C1,76,5527.272727272728,5527.272727272728,-13.673410492086633,-13.324573352487812,-13.438115928359304,-14.091573463296257,5.000000000770394e-09,3.5163877250063025,4.999999998494128e-09,3.5163877250063025,5.000000002265147e-09,3.516387725006302,4.999999999793931e-09,3.516387725006302
C1,77,5600.000000000001,5600.000000000001,-13.668815363498068,-13.30332729778484,-13.418092581618827,-14.13743799332826,5.0000000005980335e-09,3.508772381736761,4.999999998813347e-09,3.5087723817367604,5.000000002495964e-09,3.508772381736761,5.000000000102841e-09,3.508772381736761
C1,78,5672.727272727273,5672.727272727273,-13.663876463357886,-13.281311398095582,-13.397323216275476,-14.185162158501054,5.000000000513804e-09,3.5006125045127043,4.9999999990820645e-09,3.500612504512705,5.000000002000682e-09,3.5006125045127043,5.000000000018953e-09,3.500612504512704
C1,79,5745.454545454546,5745.454545454546,-13.658636317058873,-13.258828947833905,-13.376091174300095,-14.234116797037128,5.000000000950259e-09,3.491841026406498,4.9999999984771515e-09,3.4918410264064974,5.000000001991115e-09,3.491841026406498,5.000000000189102e-09,3.4918410264064983
C1,80,5818.181818181819,5818.181818181819,-13.653163278984476,-13.236265142063882,-13.354757954799718,-14.283486860381926,5.000000001024754e-09,3.4823840730118105,4.999999998548632e-09,3.4823840730118105,5.000000001723977e-09,3.4823840730118105,5.000000000607194e-09,3.48238407301181
