,,Time,Cell1 Cathode vConcentration,Cell1 Cathode vPhi,Cell1 Anode vConcentration,Cell1 Anode vPhi,Cell1 Anode vSEI Length
C25,52,3781.818181818182,44738.140828095275,3.753448712831077,2056.0086816479497,0.43143005265140055,5.284541925237064e-09
C25,53,3854.545454545455,44946.98837225176,3.750345277682992,1829.2809858734367,0.45338582067117555,5.284541925237064e-09
C25,54,3927.2727272727275,45155.83591640811,3.7471618925419587,1602.5532900989292,0.4778634560862684,5.284541925237064e-09
C25,55,4000.0000000000005,45364.68346056447,3.743886743806777,1375.8255943244237,0.5055324886384278,5.284541925237064e-09
C25,56,4072.727272727273,45573.53100472093,3.740506548745501,1149.0978985499116,0.5379258879992093,5.284541925237064e-09
C25,57,4145.454545454546,45782.378548877445,3.7370062783060902,922.3702027754016,0.5792724308408629,5.284541925237064e-09
C25,58,4218.181818181819,45991.226093033845,3.7333688594971313,695.6425070008917,0.6437742222541016,5.284541925237064e-09
C25,59,4290.909090909091,46200.073637190384,3.7295748008069465,468.91481122638805,0.7949629709166044,5.284541925237064e-09
C25,60,4363.636363636364,46408.92118122633,3.7256017313137977,242.18711545528112,1.5437963308498448,5.284541925237064e-09
C25,61,4369.722249292354,46426.397737485415,3.7252603570104377,223.21433152174535,1.725250357010412,5.284541925237064e-09
C26,0,0.0,46426.397737485415,3.9807236426664296,223.21433152174535,1.3141521499464133,5.284541925237064e-09
C26,1,72.72727272727273,46148.181093621315,3.983680662677123,488.10820945007913,0.4316756757421963,5.2845419718299575e-09
C26,2,145.45454545454547,45938.38916076272,3.9857473935669354,714.8494929062663,0.31748157601821625,5.2845430417763215e-09
C26,3,218.1818181818182,45729.5180040357,3.987726147376773,941.5770538211971,0.2707736368977653,5.284546827916548e-09
C26,4,290.90909090909093,45520.669804772355,3.9896398040025334,1168.30449173898,0.24143933661885353,5.284554368542225e-09
C26,5,363.6363636363637,45311.82224265022,3.99150050846304,1395.0317709262686,0.21834279827542932,5.284566769408387e-09
C26,6,436.3636363636364,45102.97469813096,3.993318692553848,1621.758839315304,0.19834452187864096,5.284585619315654e-09
C26,7,509.0909090909091,44894.127153965404,3.9951035140474227,1848.4856316245268,0.18042187737525242,5.284612934908669e-09
C26,8,581.8181818181819,44685.279609808844,3.996863051422178,2075.2120820367704,0.16419225917986627,5.284650765121847e-09
C26,9,654.5454545454546,44476.432065652225,3.998604460066761,2301.9381040804574,0.14947754033237665,5.284701835953444e-09
C26,10,727.2727272727274,44267.5845214956,4.000334110917103,2528.663611793518,0.13616384559726694,5.284768881075098e-09
C26,11,800.0000000000001,44058.736977339126,4.002057683123153,2755.388520237435,0.12415563292885785,5.284854625986679e-09
C26,12,872.7272727272727,43849.88943318256,4.0037802691643,2982.1127500868897,0.11336114793528526,5.284961640972694e-09
C26,13,945.4545454545455,43641.041889026055,4.005506447134297,3208.8362317947995,0.10368920569231156,5.285092204894619e-09
C26,14,1018.1818181818182,43432.19434486941,4.007240345383597,3435.5589098509104,0.09504949732623273,5.2852481641373335e-09
C26,15,1090.909090909091,43223.3468007127,4.008985698342908,3662.2807436230314,0.08735380734115777,5.2854308997669715e-09
C26,16,1163.6363636363637,43014.49925655611,4.0107458911426965,3889.0017084851715,0.08051730174232945,5.2856412856572994e-09
C26,17,1236.3636363636365,42805.651712399515,4.012524012831447,4115.72179431168,0.07445913063205033,5.285879730891928e-09
C26,18,1309.0909090909092,42596.804168243034,4.014322867220157,4342.4410076320455,0.06910366677463606,5.286146106155538e-09
C26,19,1381.818181818182,42387.956624086444,4.016145024090281,4569.159368382758,0.06438028967060665,5.286439844326373e-09
C26,20,1454.5454545454547,42179.109079930015,4.017992839072704,4795.876907602698,0.060223654836545674,5.2867600119815235e-09
C26,21,1527.2727272727275,41970.26153577351,4.01986847203473,5022.593665771951,0.056573765946178474,5.287105361555448e-09
C26,22,1600.0000000000002,41761.41399161694,4.02177391176841,5249.309690087648,0.05337568147043158,5.287474418410491e-09
C26,23,1672.727272727273,41552.56644746037,4.023710990689061,5476.025032944888,0.050579352352149935,5.287865530014311e-09
C26,24,1745.4545454545455,41343.71890330374,4.025681401845854,5702.739748922135,0.04813929283127113,5.288276963696105e-09
C26,25,1818.1818181818182,41134.871359147146,4.027686709379919,5929.453892952781,0.04601435587198837,5.288706966584719e-09
C26,26,1890.909090909091,40926.023814990556,4.029728362913264,6156.16751931148,0.044167348291537574,5.289153799455221e-09
C26,27,1963.6363636363637,40717.17627083395,4.031807706937231,6382.880680474283,0.042564747085121736,5.289615774790201e-09
C26,28,2036.3636363636365,40508.32872667742,4.033925990630215,6609.593426675995,0.041176381156969026,5.290091272368253e-09
C26,29,2109.0909090909095,40299.481182520765,4.036084373812427,6836.305804171403,0.03997519679809899,5.290578796160357e-09
C26,30,2181.818181818182,40090.63363836417,4.038283937366698,7063.017855768412,0.03893690529224537,5.291076958353582e-09
C26,31,2254.545454545455,39881.78609420747,4.040525688002277,7289.729620353256,0.03803977098903206,5.291584495458422e-09
C26,32,2327.2727272727275,39672.93855005092,4.042810564570068,7516.441132818905,0.0372643617996794,5.292100271319985e-09
C26,33,2400.0,39464.09100589427,4.045139443408596,7743.152424104487,0.0365933279217666,5.292623276413712e-09
C26,34,2472.727272727273,39255.24346173757,4.047513143196167,7969.863541414848,0.036011198324272464,5.293151980651238e-09
C26,35,2545.4545454545455,39046.39591758102,4.049932417412697,8196.574469111292,0.035504177499624506,5.293686868753473e-09
C26,36,2618.1818181818185,38837.548373424455,4.052398018213815,8423.285262015295,0.03506005997013262,5.2942261657631395e-09
C26,37,2690.909090909091,38628.700829267844,4.054910580538433,8649.995919915558,0.03466790596412418,5.294769865436597e-09
C26,38,2763.636363636364,38419.85328511128,4.057470743867476,8876.706456855773,0.034318089881203155,5.295317502189688e-09
C26,39,2836.3636363636365,38211.005740954904,4.060079101455769,9103.416884310567,0.034002003036091896,5.295868695362878e-09
C26,40,2909.0909090909095,38002.158196798344,4.062736002195369,9330.127197796472,0.03371199636061571,5.296423575948641e-09
C26,41,2981.818181818182,37793.310652641834,4.065442442093351,9556.837418474897,0.03344161940563925,5.296981454948481e-09
C26,42,3054.545454545455,37584.46310848522,4.068198628364886,9783.547550890908,0.03318478683219963,5.297542177394701e-09
C26,43,3127.2727272727275,37375.61556432872,4.071005025970511,10010.257597807255,0.03293629549405971,5.298105645657139e-09
C26,44,3200.0000000000005,37166.768020172036,4.073862075291036,10236.96756040909,0.0326915658813954,5.298671813471391e-09
C26,45,3272.727272727273,36957.92047601542,4.076770194689688,10463.677438471022,0.03244657410734826,5.299240680533399e-09
C26,46,3345.454545454546,36749.0729318589,4.079729783062248,10690.387230505828,0.03219779080793021,5.299812287647374e-09
C26,47,3418.1818181818185,36540.22538770222,4.082741222398751,10917.09693389735,0.031942126298393034,5.300386712403354e-09
C26,48,3490.909090909091,36331.37784354564,4.08580490398806,11143.806556817153,0.03167687660235516,5.30096368861694e-09
C26,49,3563.636363636364,36122.53029938905,4.088921113049258,11370.516071118816,0.031399703268675465,5.301544109918509e-09
C26,50,3636.3636363636365,35913.68275523243,4.092090267538515,11597.225483263392,0.03110854607184095,5.302127766401058e-09
C26,51,3709.0909090909095,35704.835211076046,4.095312802474067,11823.934800641724,0.030801603626235578,5.3027144180943074e-09
C26,52,3781.818181818182,35495.98766691946,4.098588864077701,12050.64400372535,0.030477387546677448,5.30330468459618e-09
C26,53,3854.545454545455,35287.14012276293,4.1019188688478385,12277.353085224473,0.03013455815241243,5.303898795984429e-09
C26,54,3927.2727272727275,35078.292578606466,4.10530315907791,12504.062037286543,0.02977197515215691,5.304497000131027e-09
C26,55,4000.0000000000005,34869.44503444968,4.108742079248717,12730.770833789846,0.02938867664652677,5.305100128391535e-09
C26,56,4072.727272727273,34660.59749029305,4.112235989699015,12957.479501247044,0.02898382943044983,5.30570733255436e-09
C26,57,4145.454545454546,34451.749946136515,4.115785264473674,13184.188012557504,0.028556731113396405,5.306319474448984e-09
C26,58,4218.181818181819,34242.902401979896,4.119390297460892,13410.896357923233,0.02810678891140361,5.306936865348497e-09
C26,59,4290.909090909091,34034.05485782312,4.123051507389603,13637.604527094261,0.027633505318966422,5.3075598304289735e-09
C26,60,4363.636363636364,33825.20731366671,4.126769343300685,13864.312509398816,0.027136465326813703,5.308188708418249e-09
C26,61,4369.734805113596,33807.69470143828,4.127083692757357,13883.322774049631,0.02709369275735787,5.3082417295805565e-09
C27,0,0.0,33807.69470143828,3.9180371835033427,13883.322774049631,0.22362263501457094,5.3082417295805565e-09
