Time,"Cell 1,1 Pos Particle vConcentration","Cell 1,1 Neg Particle vConcentration","Cell 1,2 Pos Particle vConcentration","Cell 1,2 Neg Particle vConcentration","Cell 2,1 Pos Particle vConcentration","Cell 2,1 Neg Particle vConcentration","Cell 2,2 Pos Particle vConcentration","Cell 2,2 Neg Particle vConcentration",String 1 Iapp,String 1 Voltage,"Cell 1,1 Voltage","Cell 2,1 Voltage",String 2 Iapp,String 2 Voltage,"Cell 1,2 Voltage","Cell 2,2 Voltage"
5204.819277108434,32033.86813932946,18874.41580470083,32080.724803851237,18857.420794874783,32078.254772792414,18827.585418850453,31983.276208577983,18898.7334200914,-1.2192288592892482,7.632956206098061,3.81704910896284,3.8159070971352214,-1.186302999044085,7.632956206098061,3.8151881637970635,3.817768042300998
5493.975903614458,32103.605410301938,18814.962823300226,32154.03938619158,18796.16382171056,32150.364831778945,18765.628772774966,32051.402427967958,18839.631235711528,-1.2192225990115295,7.629819754598519,3.8155027002502506,3.8143170543482685,-1.1863092593218036,7.629819754598518,3.8135724885872033,3.8162472660113154
5783.132530120482,32173.34375506856,18755.50892645997,32227.352569472732,18734.908017510912,32222.47600156985,18703.67117230151,32119.527389334402,18780.530142716947,-1.2192363216415831,7.626707710361131,3.8139679409931353,3.812739769367996,-1.18629553669175,7.626707710361131,3.8119701769213195,3.814737533439812
6072.289156626506,32243.084431818635,18696.05304153843,32300.663029565658,18673.654488632692,32294.58958309957,18641.71149967253,32187.649855674932,18721.431214255677,-1.2192705834409931,7.623629309033266,3.8124492522892126,3.8111800567440537,-1.18626127489234,7.623629309033267,3.810386264129008,3.813243044904259
6361.445783132531,32312.82772992006,18636.594921841133,32373.970531303345,18612.40343156716,32366.705875419837,18579.74949794391,32255.769595316477,18662.3346513132,-1.219314148882153,7.6205765193042385,3.810942807244188,3.80963371206005,-1.18621770945118,7.6205765193042385,3.8088163417742984,3.8117601775299406
6650.6024096385545,32382.57447532696,18577.133863219322,32447.274190391432,18551.155585173394,32438.825732577796,18517.784433322333,32323.88578473109,18603.24116833282,-1.2193703379199003,7.617559237232529,3.809453349496476,3.808105887736053,-1.1861615204134328,7.61755923723253,3.807265793700092,3.8102934435324376
6939.759036144578,32452.324689248773,18517.669847591354,32520.57403888285,18489.910922670504,32510.949176388513,18455.81628706482,32391.998444462697,18544.150747491876,-1.2194302358789735,7.614568886375722,3.8079767855051805,3.806592100870542,-1.1861016224543597,7.614568886375723,3.8057299230807313,3.808838963294992
7228.915662650603,32522.078955318324,18458.20237739323,32593.86943885448,18428.669977065914,32583.07681036386,18393.84454063591,32460.106982637317,18485.063902264206,-1.2194983636128223,7.611615586212597,3.806517973068024,3.8050976131445733,-1.186033494720511,7.611615586212598,3.8042142222834894,3.8074013639291087
7518.0722891566265,32591.837153884062,18398.731554632013,32667.160561437762,18367.43260537345,32655.20851069112,18331.8693004153,32528.21155131255,18425.980500734076,-1.2195671850759278,7.608690315089786,3.8050725993417265,3.8036177157480604,-1.1859646732574054,7.608690315089788,3.8027137621012983,3.8059765529884895
7807.228915662651,32661.599732596776,18339.256997672164,32740.446907254016,18306.19922484155,32727.34474029004,18269.890168664697,32596.311688836893,18366.900943402354,-1.2196418146631989,7.605803339361435,3.803645599612664,3.802157739748771,-1.1858900436701343,7.605803339361435,3.8012341014482525,3.8045692379131824
8096.385542168675,32731.36650132616,18279.77886860569,32813.72871598164,18244.96963521074,32799.485302486915,18207.907314365013,32664.407612280775,18307.825041951677,-1.2197155530966433,7.60294528472081,3.8022324857139322,3.8007127990068774,-1.18581630523669,7.60294528472081,3.799770130300964,3.8031751544198458
8385.5421686747,32801.13783123397,18220.296851006628,32887.0055664599,18183.744188375847,32871.63058111705,18145.920407726302,32732.498933463314,18248.753133144255,-1.219793782993785,7.60012649581367,3.8008382374583114,3.799288258355358,-1.1857380753395481,7.60012649581367,3.7983274367664825,3.801799059047187
8674.698795180724,32870.91350057728,18160.81113391697,32960.27772807182,18122.52265925771,32943.780346828746,18083.929645806696,32800.58589782628,18189.685004049945,-1.2198703263551405,7.597337330572575,3.7994582318090426,3.797879098763533,-1.1856615319781927,7.597337330572575,3.796900777012882,3.8004365535596936
8963.855421686747,32940.69383717249,18101.321437864066,33033.54482423331,18061.305362505558,33015.93493864198,18021.93473732177,32868.6681590156,18130.6209551442,-1.219950662783848,7.594588150868062,3.798097463655813,3.796490687212249,-1.1855811955494853,7.594588150868062,3.795495735314268,3.799092415553794
9253.012048192772,33010.47860903835,18041.82796061839,33106.80713274471,18000.0920660075,33088.0941166233,17959.935888421234,32936.745970749136,18071.560766317078,-1.2200289493766165,7.591869124061503,3.7967512119855176,3.7951179120759853,-1.1855029089567166,7.591869124061503,3.794106976510683,3.7977621475508196
9542.168674698796,33080.26811888838,17982.33044410815,33180.06430306939,17938.883062649435,33160.25819383829,17897.93283012106,33004.81901107378,18012.504716875577,-1.2201106751697697,7.589190575234125,3.7954244606221463,3.7937661146119783,-1.1854211831635635,7.589190575234124,3.79274005204629,3.796450523187834
9831.325301204819,33150.062136206594,17922.82908485443,33253.31660982113,17877.67812298176,33232.42693187141,17835.92576726635,33072.887531019594,17953.452589041153,-1.2201902206201496,7.586542550809109,3.794112423962111,3.792430126846998,-1.1853416377131836,7.586542550809108,3.7913895735153176,3.795152977293791
10120.481927710844,33219.86094835744,17863.32363787156,33326.56371860776,17816.477526400995,33304.600627916974,17773.91444450917,33140.95122371984,17894.404649032727,-1.2202730415266851,7.583935291640158,3.79282005171512,3.791115239925037,-1.185258816806648,7.583935291640158,3.790061034264175,3.793874257375982
10409.638554216868,33289.66433269051,17803.814292974457,33399.80589454898,17755.281051390175,33376.779051695215,17711.899059704367,33209.0103315506,17835.360686579374,-1.2203536733439186,7.581358785560834,3.7915425236782063,3.789816261882628,-1.1851781849894145,7.581358785560835,3.7887490265193455,3.7926097590414893
10698.795180722893,33359.472566080454,17744.30081412045,33473.04281448413,17694.088967961765,33448.96248955451,17649.87936682347,33277.0645581056,17776.3209588255,-1.22043751950607,7.578823147852805,3.790284735275676,3.7885384125771293,-1.1850943388272632,7.578823147852805,3.7874589636937013,3.791364184159104
10987.951807228916,33429.28543727762,17684.783381406025,33546.274730578894,17632.901065422026,33521.15072300373,17587.85555359261,33345.11413383064,17717.28526585026,-1.2205192278105275,7.576318363179012,3.789041858454769,3.7872765047242427,-1.1850126305228057,7.576318363179012,3.78618544855515,3.790132914623862
