Time,Anode vConcentration,Anode vPhi,Anode vSEI Length
13301.204819277109,15303.479589070568,0.14977181251267502,5e-09
13445.783132530121,15224.126343721837,0.15000370856047907,5e-09
13590.361445783134,15144.773098373062,0.15023452758346897,5e-09
13734.939759036146,15065.41985302379,0.15046382745005543,5e-09
13879.518072289156,14986.066607674493,0.15069305170922367,5e-09
14024.096385542169,14906.713362325463,0.15092071786836578,5e-09
14168.674698795181,14827.360116976855,0.15114732871449524,5e-09
14313.253012048193,14748.006871627922,0.15137245685308803,5e-09
14457.831325301206,14668.65362627897,0.15159751120160408,5e-09
14602.409638554218,14589.300380930348,0.1518210551376937,5e-09
14746.98795180723,14509.947135581304,0.15204358564178816,5e-09
14891.566265060243,14430.593890232847,0.15226464685218988,5e-09
15036.144578313253,14351.2406448844,0.1524856831534604,5e-09
15180.722891566265,14271.887399535526,0.15270525362528378,5e-09
15325.301204819278,14192.53415418689,0.15292385140913708,5e-09
15469.87951807229,14113.180908837969,0.15314109377714216,5e-09
15614.457831325302,14033.82766348905,0.15335828578020516,5e-09
15759.036144578315,13954.474418140293,0.1535740979978497,5e-09
15903.614457831327,13875.121172791312,0.15378898793857512,5e-09
16048.192771084337,13795.767927442503,0.154002707414366,5e-09
16192.77108433735,13716.414682093688,0.15421630304923362,5e-09
16337.349397590362,13637.061436744709,0.15442865248432336,5e-09
16481.927710843374,13557.70819139578,0.15464015604304235,5e-09
16626.506024096387,13478.354946046802,0.15485068445144715,5e-09
16771.0843373494,13399.00170069788,0.15506103180871186,5e-09
16915.66265060241,13319.64845534894,0.15527030091530988,5e-09
17060.240963855424,13240.29520999995,0.15547883102510354,5e-09
17204.819277108436,13160.941964651238,0.1556865909635397,5e-09
17349.39759036145,13081.588719302556,0.15589413757250417,5e-09
17493.975903614457,13002.23547395355,0.15610081125988962,5e-09
17638.55421686747,12922.882228604589,0.15630688847244822,5e-09
17783.13253012048,12843.528983255908,0.1565124092464996,5e-09
17927.710843373494,12764.175737907228,0.15671772039639414,5e-09
18072.289156626506,12684.8224925583,0.15692240426648016,5e-09
18216.86746987952,12605.469247209323,0.15712667574986533,5e-09
18361.44578313253,12526.1160018602,0.15733061209864163,5e-09
18506.024096385543,12446.762756511262,0.15753439252149465,5e-09
18650.602409638555,12367.409511162485,0.1577378343264685,5e-09
18795.180722891568,12288.056265813888,0.15794109617591368,5e-09
18939.75903614458,12208.703020464993,0.15814425024308265,5e-09
19084.337349397592,12129.3497751162,0.1583473697389091,5e-09
19228.915662650605,12049.996529767384,0.1585504845898877,5e-09
19373.493975903617,11970.643284418591,0.15875370799136654,5e-09
19518.07228915663,11891.290039069765,0.15895705506839036,5e-09
19662.650602409638,11811.936793720775,0.15916057875103043,5e-09
19807.22891566265,11732.583548372024,0.15936447869342993,5e-09
19951.807228915663,11653.23030302312,0.15956884055942766,5e-09
20096.385542168675,11573.87705767433,0.15977355921623163,5e-09
20240.963855421687,11494.523812325497,0.15997878317421058,5e-09
20385.5421686747,11415.170566976689,0.1601848118462961,5e-09
20530.12048192771,11335.817321627685,0.16039173064546366,5e-09
20674.698795180724,11256.464076279002,0.16059923795752876,5e-09
20819.277108433736,11177.11083093034,0.16080773125984332,5e-09
20963.85542168675,11097.75758558147,0.1610175044606795,5e-09
21108.43373493976,11018.40434023238,0.16122868207389723,5e-09
21253.012048192773,10939.051094883256,0.16144067476576598,5e-09
21397.590361445786,10859.697849534507,0.16165422588348663,5e-09
21542.168674698798,10780.344604185657,0.16186978201892577,5e-09
21686.746987951807,10700.991358836918,0.16208725257888074,5e-09
21831.32530120482,10621.638113488207,0.16230578707267898,5e-09
21975.90361445783,10542.284868139424,0.16252674600528016,5e-09
22120.481927710844,10462.931622790516,0.1627502854527762,5e-09
22265.060240963856,10383.578377441692,0.16297647227200607,5e-09
22409.63855421687,10304.22513209291,0.1632042339378708,5e-09
22554.21686746988,10224.871886743917,0.16343505990213394,5e-09
22698.795180722893,10145.518641395169,0.16366931696998174,5e-09
22843.373493975905,10066.165396046232,0.16390709882385804,5e-09
22987.951807228917,9986.812150697373,0.16414714753438484,5e-09
23132.53012048193,9907.458905348763,0.16439089727336575,5e-09
23277.108433734942,9828.10566,0.16463912701869857,5e-09
23421.686746987954,9748.752414651224,0.16489191523283603,5e-09
23566.265060240967,9669.399169302542,0.16514789507714273,5e-09
23710.843373493975,9590.045923953774,0.16540817640233957,5e-09
23855.421686746988,9510.69267860498,0.16567424892534757,5e-09
24000.0,9431.339433256571,0.16594607692488675,5e-09
24144.578313253012,9351.986187908182,0.16622226315887967,5e-09
24289.156626506025,9272.632942559536,0.16650337903844104,5e-09
24433.734939759037,9193.279697210563,0.16679188870177636,5e-09
24578.31325301205,9113.926451861867,0.1670875159027718,5e-09
24722.89156626506,9034.57320651313,0.16738885617130228,5e-09
24867.469879518074,8955.219961164246,0.16769602580990256,5e-09
25012.048192771086,8875.866715815386,0.168012378569967,5e-09
25156.6265060241,8796.513470466696,0.16833741074340391,5e-09
25301.20481927711,8717.160225118036,0.16866979044014635,5e-09
25445.783132530123,8637.806979769268,0.16900915038716746,5e-09
25590.361445783135,8558.453734420353,0.16935970391809266,5e-09
25734.939759036144,8479.100489071649,0.16972073242194152,5e-09
25879.518072289156,8399.747243722968,0.17009106152447373,5e-09
26024.09638554217,8320.393998374137,0.1704698821982246,5e-09
26168.67469879518,8241.040753025343,0.17086211465353848,5e-09
26313.253012048193,8161.687507676632,0.17126687720716835,5e-09
26457.831325301206,8082.334262328039,0.1716832542475789,5e-09
26602.409638554218,8002.981016979415,0.17211013904702757,5e-09
26746.98795180723,7923.627771630632,0.1725528332367715,5e-09
26891.566265060243,7844.274526281764,0.17300957752155544,5e-09
27036.144578313255,7764.921280932853,0.17348049328138293,5e-09
27180.722891566267,7685.568035584124,0.1739674143567182,5e-09
27325.30120481928,7606.214790235175,0.1744708730160811,5e-09
27469.879518072292,7526.861544886105,0.17499131424961184,5e-09
27614.457831325304,7447.508299537201,0.1755290018579378,5e-09
27759.036144578313,7368.155054188305,0.17608570287138947,5e-09
27903.614457831325,7288.801808839546,0.17666198175671946,5e-09
28048.192771084337,7209.448563490712,0.1772586256511087,5e-09
28192.77108433735,7130.095318141868,0.17787638192931093,5e-09
28337.349397590362,7050.742072793009,0.17851651322310302,5e-09
28481.927710843374,6971.38882744422,0.1791800762864319,5e-09
28626.506024096387,6892.035582095468,0.1798675758179704,5e-09
28771.0843373494,6812.682336746615,0.1805806302814927,5e-09
28915.66265060241,6733.329091397814,0.1813201027678601,5e-09
29060.240963855424,6653.975846048889,0.18208771175706867,5e-09
29204.819277108436,6574.622600700005,0.18288330360073163,5e-09
29349.39759036145,6495.269355351204,0.18370946642879926,5e-09
