Cell 1 Pos Particle J0,Cell 1 Pos Particle ocp,Cell 1 Neg Particle J0,Cell 1 Neg Particle ocp
0.4400526656023593,3.933619473140991,7.711741022201194,0.17885610770918184
0.43940964880466393,3.933036457590788,7.7200967629869295,0.1788882500465174
0.438761425432522,3.9324648584299307,7.728256668575943,0.17892188229178746
0.4381079723579356,3.9319044871590143,7.73622135870594,0.17895720125404613
0.4374492661614307,3.9313551566981553,7.743991435723819,0.1789944292709569
0.436785283074648,3.930816681429191,7.751567484883012,0.17903381792284495
0.4361159989859856,3.930288877287368,7.758950074497396,0.17907565225524524
0.43544138946542604,3.9297715618595035,7.76613975634039,0.1791202555727577
0.4347614297099249,3.929264554413778,7.773137065612005,0.17916799486515347
0.4340760945822116,3.9287676759967147,7.779942521441976,0.17921928693925462
0.43338535858772,3.9282807494761696,7.7865566268157425,0.17927460531877076
0.4326891958229082,3.927803599561942,7.792979868981995,0.17933448798737148
