Time,Concentration,Voltage,I_INT,I_SEI
17060.240963855424,16408.87663527619,0.5363906716910999,0.06682032969266755,-2.945193852161007e-10
17349.39759036145,16348.800330053844,0.5416101947099773,0.066820329692931,-2.9478284918904176e-10
17638.55421686747,16288.72402483148,0.5468355898679538,0.06682032969318762,-2.950394590312005e-10
17927.710843373494,16228.647719609726,0.5520666822616118,0.06682032969343701,-2.952888569407152e-10
18216.86746987952,16168.57141438816,0.5573034482404977,0.06682032969367925,-2.955310996088383e-10
18506.024096385543,16108.495109166866,0.5625457918131195,0.0668203296939142,-2.957660454836829e-10
18795.180722891568,16048.418803945926,0.567793616987985,0.06682032969414171,-2.959935530133621e-10
19084.337349397592,15988.34249872542,0.5730468277736018,0.06682032969436162,-2.962134806459891e-10
19373.493975903617,15928.266193505215,0.5783053023544265,0.06682032969457362,-2.9642546364871174e-10
19662.650602409638,15868.189888284805,0.5835688722449303,0.06682032969477689,-2.9662873394948537e-10
19951.807228915663,15808.113583064522,0.5888374727165903,0.06682032969497156,-2.9682342018251006e-10
20240.963855421687,15748.037277844316,0.5941109920451527,0.0668203296951574,-2.9700924482758293e-10
20530.12048192771,15687.960972624136,0.5993893170621678,0.06682032969533407,-2.9718591788322357e-10
20819.277108433736,15627.884667403905,0.6046723331549894,0.0668203296955013,-2.973531368666734e-10
21108.43373493976,15567.808362183541,0.6099599242667749,0.06682032969565874,-2.9751058681389604e-10
21397.590361445786,15507.73205696295,0.6152519728964849,0.0668203296958061,-2.9765794027957734e-10
21686.746987951807,15447.655751742026,0.6205483600988837,0.06682032969594301,-2.977948573371252e-10
21975.90361445783,15387.579446520644,0.6258489654845395,0.06682032969606914,-2.979209855786696e-10
22265.060240963856,15327.503141298681,0.6311536672198234,0.06682032969618412,-2.980359601150627e-10
22554.21686746988,15267.42683607599,0.6364623420269101,0.06682032969628755,-2.981394035758786e-10
22843.373493975905,15207.350530852895,0.6417748936941353,0.06682032969637786,-2.982297007761024e-10
23132.53012048193,15147.27422563192,0.6470913558966995,0.06682032969644773,-2.982995796331081e-10
23421.686746987954,15087.197920410972,0.6524114874078929,0.06682032969650167,-2.9835350839430505e-10
23710.843373493975,15027.12161519006,0.657735171050426,0.0668203296965387,-2.983905492942908e-10
24000.0,14967.045309969195,0.6630622889785878,0.06682032969655789,-2.984097187447405e-10
24289.156626506025,14906.969004748396,0.6683927226782446,0.06682032969655816,-2.984099873344061e-10
24578.31325301205,14846.892699527665,0.6737263529668412,0.06682032969653844,-2.9839027982911704e-10
24867.469879518074,14786.816394307025,0.6790630599934,0.06682032969649764,-2.983494751717796e-10
25156.6265060241,14726.740089086483,0.6844027232385214,0.06682032969643456,-2.982864064823772e-10
25445.783132530123,14666.66378386606,0.6897452215143831,0.06682032969634802,-2.9819986105797105e-10
25734.939759036144,14606.587478645773,0.6950904329647419,0.06682032969623673,-2.980885803726986e-10
26024.09638554217,14546.51117342564,0.7004382350649314,0.06682032969609941,-2.9795126007777516e-10
26313.253012048193,14486.434868205655,0.7057886172701331,0.06682032969593396,-2.97785806298379e-10
26602.409638554218,14426.358562984875,0.7111462214066301,0.0668203296957075,-2.975593600011842e-10
26891.566265060243,14366.282257763996,0.7165075735339993,0.06682032969544056,-2.972924105485959e-10
27180.722891566267,14306.205952543103,0.7218723282932888,0.06682032969512072,-2.969725817845609e-10
27469.879518072292,14246.129647322168,0.7272406026101661,0.06682032969474555,-2.9659740502340457e-10
27759.036144578313,14186.053342101199,0.7326123994875422,0.06682032969430966,-2.9616152084663527e-10
