Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage"
9,CC-discharge,5,363.6363636363637,79638.18171391301,7.222977376334912,-27.263836618115,-27.263836618115,34578.88624895664,13334.668174315602,5.2478406078014776e-09,3.607980342275672,34314.492523548455,13399.295039510442,5.249169633346841e-09,3.6149970340592397
9,CC-discharge,6,436.3636363636364,79710.90898664028,7.205054998793159,-27.263836618115,-27.263836618115,35003.75533449613,12886.52082717107,5.247840607800918e-09,3.598956668594429,34726.598537775855,12954.274664104849,5.249169633346839e-09,3.6060983301987295
9,CC-discharge,7,509.0909090909091,79783.63625936756,7.1874829150208415,-27.263836618115,-27.263836618115,35428.624413396894,12438.37348002597,5.24784060780114e-09,3.590111583237157,35138.70454556462,12509.254288698552,5.249169633346779e-09,3.5973713317836844
9,CC-discharge,8,581.8181818181819,79856.36353209482,7.170235235002582,-27.263836618115,-27.263836618115,35853.493491820926,11990.226132880878,5.247840607796848e-09,3.5814316709595486,35550.81055289043,12064.233913292264,5.249169633332852e-09,3.588803564043033
9,CC-discharge,9,654.5454545454546,79929.0908048221,7.153279663550989,-27.263836618115,-27.263836618115,36278.36257021108,11542.078785735654,5.247840607801998e-09,3.5729001675019836,35962.91656018364,11619.213537886111,5.2491696333313394e-09,3.580379496049005
9,CC-discharge,10,727.2727272727274,80001.81807754937,7.136576309151108,-27.263836618115,-27.263836618115,36703.23164859889,11093.931438590267,5.247840607794576e-09,3.5644963387261495,36375.02256747451,11174.193162480125,5.2491696333338375e-09,3.5720799704249586
9,CC-discharge,11,800.0000000000001,80074.54535027665,7.120075779757764,-27.263836618115,-27.263836618115,37128.10072698631,10645.784091444928,5.247840607789962e-09,3.5561944916151615,36787.12857476558,10729.172787074034,5.249169633321056e-09,3.563881288142603
9,CC-discharge,12,872.7272727272727,80147.27262300393,7.10371675921463,-27.263836618115,-27.263836618115,37552.96980537372,10197.63674429961,5.247840607787032e-09,3.5479627149918134,37199.234582056444,10284.152411667852,5.249169633319781e-09,3.555754044222817
9,CC-discharge,13,945.4545454545455,80219.99989573119,7.087423029947487,-27.263836618115,-27.263836618115,37977.83888376128,9749.489397154366,5.247840607346891e-09,3.539761330614837,37611.34058934735,9839.132036261659,5.249169633305512e-09,3.5476616993326506
9,CC-discharge,14,1018.1818181818182,80292.72716845847,7.071099738802246,-27.263836618115,-27.263836618115,38402.707962148845,9301.342050009182,5.2478406071133485e-09,3.531540948838653,38023.446596637936,9394.11166085539,5.2491696340219045e-09,3.5395587899635936
9,CC-discharge,15,1090.909090909091,80365.45444118574,7.054628812977836,-27.263836618115,-27.263836618115,38827.57704053626,8853.194702864062,5.247840607679177e-09,3.5232400822639836,38435.55260392865,8949.091285449278,5.249169634452088e-09,3.5313887307138527
9,CC-discharge,16,1163.6363636363637,80438.18171391301,7.037863426451807,-27.263836618115,-27.263836618115,39252.446118923704,8405.04735571871,5.247840606394064e-09,3.514782260216595,38847.65861121936,8504.070910043023,5.249169633361201e-09,3.5230811662352126
9,CC-discharge,17,1236.3636363636365,80510.90898664028,7.020621162437753,-27.263836618115,-27.263836618115,39677.315197311196,7956.900008573426,5.247840608020438e-09,3.506072461860299,39259.76461850991,8059.050534636844,5.249169633388494e-09,3.5145487005774543
9,CC-discharge,18,1309.0909090909092,80583.63625936756,7.002676352687455,-27.263836618115,-27.263836618115,40102.184275698746,7508.752661428276,5.247840607689069e-09,3.4969931198910533,39671.870625800664,7614.0301592307005,5.249169634649925e-09,3.5056832327964025
9,CC-discharge,19,1381.818181818182,80656.36353209482,6.98374621625425,-27.263836618115,-27.263836618115,40527.053354086325,7060.605314283061,5.247840607327289e-09,3.487396873163188,40083.97663309153,7169.009783824487,5.249169634180459e-09,3.4963493430910617
9,CC-discharge,20,1454.5454545454547,80729.0908048221,6.963486010887133,-27.263836618115,-27.263836618115,40951.922432473795,6612.457967137751,5.2478406073557885e-09,3.477104052045352,40496.08264038252,6723.989408418299,5.249169634528946e-09,3.4863819588417813
9,CC-discharge,21,1527.2727272727275,80801.81807754937,6.9414647764852475,-27.263836618115,-27.263836618115,41376.7915108611,6164.310619992578,5.247840607401718e-09,3.4658899922539654,40908.18864767324,6278.969033012087,5.249169633992615e-09,3.475574784231282
