Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
2,CV-charge,3,163.63636363636363,12536.787978031583,4.0,20.61626763648276,20.61626763648276,42131.24971104054,4786.509319816391,5.029326217280969e-09,4.0
2,CV-charge,4,218.1818181818182,12591.333432577037,4.000000000000001,19.446882277795773,19.446882277795773,41907.65873818812,5032.745293217038,5.0297028983492815e-09,4.000000000000001
2,CV-charge,5,272.72727272727275,12645.878887122492,4.0,18.478965541539033,18.478965541539033,41695.17946561373,5266.299855536479,5.030085592291107e-09,4.0
2,CV-charge,6,327.27272727272725,12700.424341667947,4.0,17.660742511139684,17.660742511139684,41492.094779378596,5489.189629467978,5.0304723060269564e-09,4.0
2,CV-charge,7,381.8181818181818,12754.969796213401,3.9999999999999996,16.95670831344181,16.95670831344181,41297.101192606904,5702.943020392656,5.0308614294896615e-09,3.9999999999999996
2,CV-charge,8,436.3636363636364,12809.515250758855,4.0,16.341683933982257,16.341683933982257,41109.179422609595,5908.7466304977,5.031251652446141e-09,4.0
2,CV-charge,9,490.90909090909093,12864.06070530431,4.0,15.797325829727239,15.797325829727239,40927.52057871529,6107.536186407827,5.0316419082022866e-09,4.0
2,CV-charge,10,545.4545454545455,12918.606159849765,4.0,15.30993929316878,15.30993929316878,40751.470013366714,6300.065114648488,5.032031321688759e-09,4.0
2,CV-charge,11,600.0,12973.15161439522,4.000000000000001,14.869122758278461,14.869122758278461,40580.49259518928,6486.946543214141,5.032419177058319e-09,4.000000000000001
2,CV-charge,12,654.5454545454545,13027.697068940673,4.0,14.46682550097587,14.46682550097587,40414.14612378382,6668.685237478797,5.03280488946483e-09,4.0
2,CV-charge,13,709.0909090909091,13082.24252348613,4.0,14.096730489283313,14.096730489283313,40252.060295310024,6845.702533220558,5.033187980614204e-09,4.0
2,CV-charge,14,763.6363636363636,13136.787978031583,4.0,13.753812706289665,13.753812706289665,40093.92190398107,7018.353738214045,5.033568061199393e-09,4.0
2,CV-charge,15,818.1818181818182,13191.333432577037,3.999999999999999,13.434043503693138,13.434043503693138,39939.46462539872,7186.940194843108,5.033944816479317e-09,3.999999999999999
2,CV-charge,16,872.7272727272727,13245.878887122492,4.000000000000001,13.134149007661179,13.134149007661179,39788.459656979394,7351.720172894082,5.034317994122871e-09,4.000000000000001
2,CV-charge,17,927.2727272727273,13300.424341667947,4.0,12.851451944293453,12.851451944293453,39640.7090067347,7512.916671485039,5.0346873943153275e-09,4.0
2,CV-charge,18,981.8181818181819,13354.969796213401,3.9999999999999987,12.583744673370482,12.583744673370482,39496.03985094338,7670.723928125819,5.035052862424565e-09,3.9999999999999987
2,CV-charge,19,1036.3636363636365,13409.515250758855,3.9999999999999996,12.32919536752821,12.32919536752821,39354.3008074334,7825.311776540292,5.03541427958178e-09,3.9999999999999996
2,CV-charge,20,1090.909090909091,13464.06070530431,4.0,12.0862742254798,12.0862742254798,39215.3581017533,7976.830013126669,5.035771558359422e-09,4.0
2,CV-charge,21,1145.4545454545455,13518.606159849765,3.999999999999999,11.853696358456363,11.853696358456363,39079.09250356928,8125.411905724502,5.0361246383691826e-09,3.999999999999999
2,CV-charge,22,1200.0,13573.15161439522,3.9999999999999996,11.63037769968566,11.63037769968566,38945.397996088075,8271.17576979983,5.036473480357029e-09,3.9999999999999996
2,CV-charge,23,1254.5454545454545,13627.697068940673,4.0,11.415398959702191,11.415398959702191,38814.17851451239,8414.228625598307,5.036818065214951e-09,4.0
2,CV-charge,24,1309.090909090909,13682.24252348613,4.000000000000001,11.20797667441564,11.20797667441564,38685.34707677508,8554.667223465221,5.037158389751155e-09,4.000000000000001
2,CV-charge,25,1363.6363636363637,13736.787978031583,4.0,11.007441048650607,11.007441048650607,38558.8246647479,8692.579327565865,5.037494463792213e-09,4.0
2,CV-charge,26,1418.1818181818182,13791.333432577037,4.0,10.813216759050373,10.813216759050373,38434.5386784968,8828.045452886821,5.037826308910992e-09,4.0
2,CV-charge,27,1472.7272727272727,13845.878887122492,3.9999999999999996,10.624807775137526,10.624807775137526,38312.422300969476,8961.139599276225,5.038153956047351e-09,3.9999999999999996
2,CV-charge,28,1527.2727272727273,13900.424341667947,4.000000000000001,10.441788525064133,10.441788525064133,38192.41607395301,9091.927566025075,5.038477439207076e-09,4.000000000000001
2,CV-charge,29,1581.8181818181818,13954.969796213401,4.000000000000001,10.263780934849533,10.263780934849533,38074.459212582675,9220.476458189769,5.0387968102985924e-09,4.000000000000001
2,CV-charge,30,1636.3636363636365,14009.515250758855,3.9999999999999996,10.090459624099479,10.090459624099479,37958.49774565868,9346.845818846308,5.039112120494164e-09,3.9999999999999996
2,CV-charge,31,1690.909090909091,14064.06070530431,4.0,9.92153958293521,9.92153958293521,37844.48104665682,9471.091442834495,5.039423425261455e-09,4.0
2,CV-charge,32,1745.4545454545455,14118.606159849765,3.9999999999999996,9.756770271245733,9.756770271245733,37732.361434054365,9593.265825874234,5.039730783504435e-09,3.9999999999999996
2,CV-charge,33,1800.0,14173.15161439522,4.000000000000001,9.595931033197411,9.595931033197411,37622.09420071307,9713.418145914227,5.0400342560508065e-09,4.000000000000001
2,CV-charge,34,1854.5454545454545,14227.697068940673,4.0,9.438708065399467,9.438708065399467,37513.554931546605,9831.684404021798,5.040334078584129e-09,4.0
2,CV-charge,35,1909.0909090909092,14282.24252348613,4.0,9.285163955499732,9.285163955499732,37406.86690911631,9947.930505220886,5.040629970787649e-09,4.0
2,CV-charge,36,1963.6363636363637,14336.787978031583,3.9999999999999996,9.134899166537439,9.134899166537439,37301.82202579954,10062.383636522924,5.040922357633664e-09,3.9999999999999996
2,CV-charge,37,2018.1818181818182,14391.333432577037,4.0,8.987895547230984,8.987895547230984,37198.467903565615,10174.992069688164,5.0412111260910745e-09,4.0
2,CV-charge,38,2072.727272727273,14445.878887122493,3.9999999999999996,8.844025797792225,8.844025797792225,37096.76851633381,10285.795312668502,5.041496344190698e-09,3.9999999999999996
2,CV-charge,39,2127.2727272727275,14500.424341667947,4.0,8.703305086658547,8.703305086658547,36996.78234726971,10394.729814642906,5.041777880094335e-09,4.0
2,CV-charge,40,2181.818181818182,14554.969796213401,4.000000000000001,8.565495731884212,8.565495731884212,36898.38273082447,10501.933815614178,5.042056001690312e-09,4.000000000000001
2,CV-charge,41,2236.3636363636365,14609.515250758855,4.0,8.430501104645655,8.430501104645655,36801.53738251279,10607.442614166745,5.042330776612729e-09,4.0
2,CV-charge,42,2290.909090909091,14664.06070530431,4.0,8.298096310265427,8.298096310265427,36706.1169621453,10711.397284400286,5.042602482915356e-09,4.0
2,CV-charge,43,2345.4545454545455,14718.606159849765,3.999999999999999,8.16847303882057,8.16847303882057,36612.28890109321,10813.615441940738,5.0428707620611216e-09,3.999999999999999
2,CV-charge,44,2400.0,14773.15161439522,4.000000000000001,8.04141597199952,8.04141597199952,36519.924185387645,10914.23783562054,5.0431358941209945e-09,4.000000000000001
2,CV-charge,45,2454.5454545454545,14827.697068940673,4.000000000000001,7.916710750532036,7.916710750532036,36428.89006221152,11013.409191449706,5.04339816737961e-09,4.000000000000001
2,CV-charge,46,2509.090909090909,14882.24252348613,3.9999999999999996,7.7944324508785225,7.7944324508785225,36339.26220364451,11111.047089232652,5.043657423548113e-09,3.9999999999999996
2,CV-charge,47,2563.6363636363635,14936.787978031583,4.0,7.6745171786838915,7.6745171786838915,36251.01346063291,11207.181212738415,5.043913725821072e-09,4.0
2,CV-charge,48,2618.181818181818,14991.333432577037,3.9999999999999996,7.556904372267491,7.556904372267491,36164.11734524482,11301.840489470032,5.044167136327233e-09,3.9999999999999996
2,CV-charge,49,2672.727272727273,15045.878887122493,4.0,7.44153644993483,7.44153644993483,36078.548032016275,11395.053118063011,5.044417716084353e-09,4.0
2,CV-charge,50,2727.2727272727275,15100.424341667947,4.000000000000001,7.328358476526223,7.328358476526223,35994.280327826535,11486.846602996871,5.0446655249648295e-09,4.000000000000001
2,CV-charge,51,2781.818181818182,15154.969796213401,4.0,7.21731787768518,7.21731787768518,35911.28964470337,11577.247784949614,5.044910621670341e-09,4.0
2,CV-charge,52,2836.3636363636365,15209.515250758855,3.9999999999999996,7.108519100392379,7.108519100392379,35829.668401573406,11666.156011401767,5.045152817570762e-09,3.9999999999999996
2,CV-charge,53,2890.909090909091,15264.06070530431,3.999999999999999,7.001757799973877,7.001757799973877,35749.2769215626,11753.723547439025,5.045392415418127e-09,3.999999999999999
2,CV-charge,54,2945.4545454545455,15318.606159849765,4.0,6.896828340593733,6.896828340593733,35669.97203439823,11840.106406667262,5.045629723216141e-09,4.0
2,CV-charge,55,3000.0,15373.15161439522,4.0,6.7938452482249465,6.7938452482249465,35591.851436212804,11925.1981308457,5.045864541511161e-09,4.0
2,CV-charge,56,3054.5454545454545,15427.697068940673,3.9999999999999996,6.692764853240852,6.692764853240852,35514.89335176247,12009.022519118367,5.046096922862892e-09,3.9999999999999996
2,CV-charge,57,3109.090909090909,15482.24252348613,4.000000000000001,6.593696531938248,6.593696531938248,35439.19266993578,12091.476222853596,5.0463266762295226e-09,4.000000000000001
2,CV-charge,58,3163.6363636363635,15536.787978031583,4.000000000000001,6.496292565896166,6.496292565896166,35364.49417242116,12172.837378302027,5.046554340748307e-09,4.000000000000001
2,CV-charge,59,3218.1818181818185,15591.333432577037,4.0,6.400812734842875,6.400812734842875,35291.007474964055,12252.877568565798,5.0467794867916615e-09,4.0
2,CV-charge,60,3272.727272727273,15645.878887122493,4.0,6.306924865872241,6.306924865872241,35218.486797038,12331.86467000134,5.047002630818006e-09,4.0
2,CV-charge,61,3327.2727272727275,15700.424341667947,4.0,6.214738799483133,6.214738799483133,35147.026255704455,12409.69610608396,5.0472235837044185e-09,4.0
2,CV-charge,62,3381.818181818182,15754.969796213401,4.0,6.124217582732669,6.124217582732669,35076.60674570153,12486.39275281046,5.047442391205545e-09,4.0
2,CV-charge,63,3436.3636363636365,15809.515250758855,4.0,6.035325074589891,6.035325074589891,35007.20953212593,12561.975050284793,5.047659097977559e-09,4.0
2,CV-charge,64,3490.909090909091,15864.06070530431,4.0,5.9480260088197054,5.9480260088197054,34938.81628669754,12636.462994088255,5.047873747598265e-09,4.0
2,CV-charge,65,3545.4545454545455,15918.606159849765,4.0,5.862285956895566,5.862285956895566,34871.409077101795,12709.87614769182,5.0480863825884554e-09,4.0
2,CV-charge,66,3600.0,15973.15161439522,4.0,5.778196224462868,5.778196224462868,34805.069115693215,12782.126065437726,5.048296843656999e-09,4.0
2,CV-charge,67,3654.5454545454545,16027.697068940673,4.0,5.695471983926954,5.695471983926954,34739.58034310621,12853.44817783785,5.04850557569486e-09,4.0
