Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area"
13,CV-charge,7,6305.988946461574,118220.88611473794,4.2,15.475220740813645,15.475220740813645,30139.31529295197,17730.615483419737,4.9679013800534e-20,4.2,-0.0
13,CV-charge,8,6378.716219188847,118293.6133874652,4.2,14.5161154140363,14.5161154140363,29915.13364253376,17976.915854223917,4.981875255624213e-20,4.2,-0.0
13,CV-charge,9,6451.44349191612,118366.34066019248,4.2,13.648876420572371,13.648876420572371,29704.415100062168,18208.317498196244,5.233040821441649e-20,4.2,-0.0
13,CV-charge,10,6524.170764643392,118439.06793291974,4.200000000000001,12.861568949905461,12.861568949905461,29505.913647822046,18426.21017065045,5.1671515344554554e-20,4.200000000000001,-0.0
13,CV-charge,11,6596.898037370665,118511.79520564702,4.2,12.144147646483294,12.144147646483294,29318.542012379785,18631.805375439766,5.019916532631683e-20,4.2,-0.0
13,CV-charge,12,6669.625310097938,118584.5224783743,4.199999999999999,11.48806140463496,11.48806140463496,29141.334475996904,18826.178042081105,5.0940382534913226e-20,4.199999999999999,-0.0
13,CV-charge,13,6742.352582825211,118657.24975110157,4.200000000000001,10.886111031421278,10.886111031421278,28973.458209261782,19010.254528412046,5.780333110952487e-20,4.200000000000001,-0.0
13,CV-charge,14,6815.079855552483,118729.97702382885,4.2,10.331692564000495,10.331692564000495,28814.047128604132,19184.995571239266,6.166636583032488e-20,4.2,-0.0
13,CV-charge,15,6887.807128279756,118802.70429655611,4.199999999999999,9.819929269694397,9.819929269694397,28662.560015031402,19351.00362873538,6.144385753965161e-20,4.199999999999999,-0.0
13,CV-charge,16,6960.534401007029,118875.43156928339,4.2,9.34663885566504,9.34663885566504,28518.531446825342,19508.796889434405,5.891178529321717e-20,4.2,-0.0
13,CV-charge,17,7033.261673734301,118948.15884201066,4.199999999999999,8.90699738660658,8.90699738660658,28381.173305232234,19659.246007716374,5.893495920425596e-20,4.199999999999999,-0.0
13,CV-charge,18,7105.988946461574,119020.88611473794,4.2,8.497984590281677,8.497984590281677,28250.141669126704,19802.733418024185,5.892456438208482e-20,4.2,-0.0
13,CV-charge,19,7178.716219188847,119093.6133874652,4.2,8.116579462795432,8.116579462795432,28125.00765302842,19939.73409722495,5.89314306788977e-20,4.2,-0.0
13,CV-charge,20,7251.44349191612,119166.34066019248,4.2,7.760134529796558,7.760134529796558,28005.383599917677,20070.677019801493,5.891002847601867e-20,4.2,-0.0
13,CV-charge,21,7324.170764643393,119239.06793291974,4.2,7.426321690867894,7.426321690867894,27890.918173208902,20195.950745766364,5.892021262332518e-20,4.2,-0.0
13,CV-charge,22,7396.898037370665,119311.79520564702,4.199999999999999,7.113086801652143,7.113086801652143,27781.29206278526,20315.908221061753,5.891713653425933e-20,4.199999999999999,-0.0
13,CV-charge,23,7469.625310097938,119384.5224783743,4.2,6.818615367824656,6.818615367824656,27676.21563961088,20430.86942106105,5.89316399376234e-20,4.2,-0.0
13,CV-charge,24,7542.352582825211,119457.24975110157,4.199999999999999,6.54129197446184,6.54129197446184,27575.422754690204,20541.128234651867,5.894111773384786e-20,4.199999999999999,-0.0
13,CV-charge,25,7615.079855552483,119529.97702382885,4.200000000000001,6.27967874895745,6.27967874895745,27478.669865862536,20646.953452609843,5.895606563160866e-20,4.200000000000001,-0.0
13,CV-charge,26,7687.807128279756,119602.70429655611,4.2,6.032491746607865,6.032491746607865,27385.733401636688,20748.591712293968,5.897834285952557e-20,4.2,-0.0
13,CV-charge,27,7760.534401007029,119675.43156928339,4.199999999999999,5.798581425022164,5.798581425022164,27296.407664233626,20846.269833892336,5.90447992961348e-20,4.199999999999999,-0.0
13,CV-charge,28,7833.261673734301,119748.15884201066,4.2,5.576915962876143,5.576915962876143,27210.502994194398,20940.196864557354,5.936573404073978e-20,4.2,-0.0
13,CV-charge,29,7905.988946461575,119820.88611473794,4.2,5.36656695779164,5.36656695779164,27127.844158497173,21030.5658724542,5.931440451029913e-20,4.2,-0.0
13,CV-charge,30,7978.716219188847,119893.6133874652,4.2,5.1666971230317325,5.1666971230317325,27048.268930938873,21117.555525885757,5.916479961268698e-20,4.2,-0.0
13,CV-charge,31,8051.44349191612,119966.34066019248,4.2,4.9765496693693025,4.9765496693693025,26971.626838372238,21201.33148713304,5.911036529920832e-20,4.2,-0.0
13,CV-charge,32,8124.170764643393,120039.06793291974,4.2,4.795439112671577,4.795439112671577,26897.77805048247,21282.047646049992,5.9222035496473e-20,4.2,-0.0
13,CV-charge,33,8196.898037370665,120111.79520564702,4.200000000000001,4.622743291708356,4.622743291708356,26826.592394152496,21359.847214651363,5.906816071770346e-20,4.200000000000001,-0.0
13,CV-charge,34,8269.625310097937,120184.5224783743,4.2,4.457896416620287,4.457896416620287,26757.948476297246,21434.863700771508,5.899374475060757e-20,4.2,-0.0
13,CV-charge,35,8342.352582825211,120257.24975110157,4.2,4.300382997873371,4.300382997873371,26691.732901393858,21507.221776175298,5.898038838560665e-20,4.2,-0.0
13,CV-charge,36,8415.079855552483,120329.97702382885,4.199999999999999,4.14973252967289,4.14973252967289,26627.83957190863,21577.038052364172,5.920637039452102e-20,4.199999999999999,-0.0
13,CV-charge,37,8487.807128279757,120402.70429655611,4.200000000000002,4.005514821769603,4.005514821769603,26566.169061492204,21644.421775373918,5.917309853474099e-20,4.200000000000002,-0.0
13,CV-charge,38,8560.53440100703,120475.43156928339,4.199999999999999,3.86733589006997,3.86733589006997,26506.62805220928,21709.47544933225,5.916640823243462e-20,4.199999999999999,-0.0
13,CV-charge,39,8633.261673734301,120548.15884201066,4.2,3.734834330172549,3.734834330172549,26449.128828262394,21772.295397201568,5.916999626746797e-20,4.2,-0.0
13,CV-charge,40,8705.988946461575,120620.88611473794,4.200000000000001,3.607678109359811,3.607678109359811,26393.58881967166,21832.972265993132,5.918363079021512e-20,4.200000000000001,-0.0
13,CV-charge,41,8778.716219188847,120693.6133874652,4.2,3.4855617221354405,3.4855617221354405,26339.930190240666,21891.591482790478,5.923604042318776e-20,4.2,-0.0
13,CV-charge,42,8851.443491916121,120766.34066019248,4.199999999999999,3.36820366238729,3.36820366238729,26288.07946486652,21948.233667081688,5.9332858528863e-20,4.199999999999999,-0.0
13,CV-charge,43,8924.170764643393,120839.06793291974,4.2,3.255344171988326,3.255344171988326,26237.967191880776,22002.97500421762,5.937182070481052e-20,4.2,-0.0
13,CV-charge,44,8996.898037370665,120911.79520564702,4.200000000000001,3.1467432313315387,3.1467432313315387,26189.527636650128,22055.887584182627,5.94320470596453e-20,4.200000000000001,-0.0
13,CV-charge,45,9069.625310097937,120984.5224783743,4.2,3.042178762083653,3.042178762083653,26142.698503127074,22107.03970937724,5.937399422426863e-20,4.2,-0.0
13,CV-charge,46,9142.352582825211,121057.24975110157,4.2,2.9414450165295816,2.9414450165295816,26097.42068044268,22156.496174643802,5.941823843493754e-20,4.2,-0.0
13,CV-charge,47,9215.079855552483,121129.97702382885,4.199999999999999,2.8443511313306353,2.8443511313306353,26053.638011978554,22204.318522373225,5.938502936286263e-20,4.199999999999999,-0.0
13,CV-charge,48,9287.807128279757,121202.70429655611,4.199999999999999,2.7507198264841644,2.7507198264841644,26011.297084660146,22250.56527522571,5.938108376039057e-20,4.199999999999999,-0.0
13,CV-charge,49,9307.178629112434,121222.0757973888,4.199999999999999,2.7263936618115,2.7263936618115,26000.278460615296,22262.600203926067,5.937230789572238e-20,4.199999999999999,-0.0
14,CC-discharge,0,0.0,121222.0757973888,3.855370278049399,-27.263836618115,-27.263836618115,26000.278460615296,22262.600203926067,5.937230789572238e-20,3.855370278049399,0.0
14,CC-discharge,1,72.72727272727273,121294.80307011608,3.831306199565325,-27.263836618115,-27.263836618115,26565.398156104115,21728.10034554272,5.93723226999531e-20,3.831306199565325,0.5507845781437374
14,CC-discharge,2,145.45454545454547,121367.53034284334,3.8150417798912293,-27.263836618115,-27.263836618115,26984.985971968756,21274.620364295086,5.937233990278132e-20,3.8150417798912293,1.1015691562874748
14,CC-discharge,3,218.1818181818182,121440.25761557062,3.7998748827628184,-27.263836618115,-27.263836618115,27402.71259750899,20821.165021861587,5.937233957471647e-20,3.7998748827628184,1.652353734431212
14,CC-discharge,4,290.90909090909093,121512.98488829788,3.7855402473686857,-27.263836618115,-27.263836618115,27820.41012750546,20367.709631035825,5.937234015698308e-20,3.7855402473686857,2.2031383125749495
14,CC-discharge,5,363.6363636363637,121585.71216102516,3.7718766415682174,-27.263836618115,-27.263836618115,28238.10540570174,19914.25423949692,5.937233979616692e-20,3.7718766415682174,2.753922890718687
14,CC-discharge,6,436.3636363636364,121658.43943375243,3.758777812784261,-27.263836618115,-27.263836618115,28655.800508854358,19460.79884794787,5.937234036978866e-20,3.758777812784261,3.304707468862424
14,CC-discharge,7,509.0909090909091,121731.16670647971,3.746149974682203,-27.263836618115,-27.263836618115,29073.495598333036,19007.343456398816,5.937234038804879e-20,3.746149974682203,3.8554920470061615
14,CC-discharge,8,581.8181818181819,121803.89397920697,3.7339365171543433,-27.263836618115,-27.263836618115,29491.190686738504,18553.88806484963,5.93723400697001e-20,3.7339365171543433,4.406276625149899
14,CC-discharge,9,654.5454545454546,121876.62125193425,3.7220901301616216,-27.263836618115,-27.263836618115,29908.88577505864,18100.432673300525,5.937234063371799e-20,3.7220901301616216,4.9570612032936365
14,CC-discharge,10,727.2727272727274,121949.34852466152,3.7105745611558176,-27.263836618115,-27.263836618115,30326.580863372328,17646.97728175085,5.937234060288661e-20,3.7105745611558176,5.507845781437374
14,CC-discharge,11,800.0000000000001,122022.0757973888,3.6993617780431802,-27.263836618115,-27.263836618115,30744.275951685144,17193.521890201315,5.937234013558171e-20,3.6993617780431802,6.0586303595811115
14,CC-discharge,12,872.7272727272727,122094.80307011608,3.6884298837966725,-27.263836618115,-27.263836618115,31161.971039997974,16740.06649865184,5.937233938314261e-20,3.6884298837966725,6.609414937724848
14,CC-discharge,13,945.4545454545455,122167.53034284334,3.677761550126309,-27.263836618115,-27.263836618115,31579.666128310484,16286.611107102455,5.937234002853051e-20,3.677761550126309,7.160199515868586
