Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
8,CV-charge,24,1309.090909090909,73472.00887180987,8.2,23.076095485793793,11.455995265702692,11.620100220091102,33056.41377604251,14713.012106049742,5.335641492104477e-09,4.098778208523141,-0.0,33016.34226192687,14766.278548821574,5.336907316139188e-09,4.099971012911088,-0.0,32890.17169379129,14597.03662499081,5.333753353288135e-09,4.101221791476859,-0.0,33019.05632523088,14740.285503985626,5.336481976572606e-09,4.10002898708891,-0.0
8,CV-charge,25,1363.6363636363637,73526.55432635533,8.2,22.41587912734922,11.129306868945276,11.286572258403949,32927.39405087353,14851.247520688681,5.336051295148076e-09,4.0987927037416005,-0.0,32887.76866461269,14905.781831249074,5.337321837507996e-09,4.099971349432717,-0.0,32764.098631877736,14737.305824258967,5.33416634468716e-09,4.101207296258398,-0.0,32890.434521743824,14880.251921185678,5.336897223673303e-09,4.100028650567284,-0.0
8,CV-charge,26,1418.1818181818182,73581.09978090078,8.200000000000001,21.782203396231733,10.81570005929712,10.96650333693461,32801.75572189741,14985.847363130571,5.336453662670269e-09,4.098807041335157,-0.0,32762.586249567354,15041.59267228119,5.337728811135713e-09,4.099971658917753,-0.0,32641.329738927885,14873.885964862055,5.3345718084879834e-09,4.101192958664844,-0.0,32765.20517198349,15016.513638912103,5.337304903895188e-09,4.100028341082247,-0.0
8,CV-charge,27,1472.7272727272727,73635.64523544624,8.2,21.174915691106463,10.515102665291133,10.659813025815328,32679.61062026645,15116.692183622985,5.336848348013525e-09,4.098821184299255,-0.0,32640.906113180365,15173.590916467741,5.338127988286887e-09,4.099971943227127,-0.0,32521.974291997816,15006.655839654566,5.334969496635033e-09,4.101178815700744,-0.0,32643.479413993122,15148.950102813962,5.337704766581495e-09,4.100028056772874,-0.0
8,CV-charge,28,1527.2727272727273,73690.19068999168,8.2,20.592597955359196,10.226818162943232,10.365779792415966,32560.81596476362,15243.93620884397,5.337235661999495e-09,4.098835126573122,-0.0,32522.58402712441,15301.93433795509,5.338519686024877e-09,4.099972204787048,-0.0,32405.892770830455,15135.771944248132,5.3353597253081144e-09,4.101164873426877,-0.0,32525.112965369295,15277.719610801832,5.3380971300054894e-09,4.1000277952129505,-0.0
8,CV-charge,29,1581.8181818181818,73744.73614453714,8.200000000000001,20.0339135397439,9.950189874155852,10.083723665588046,32445.236188311337,15367.725596885984,5.3376158982274375e-09,4.098848863389071,-0.0,32407.483105411888,15426.772395389316,5.3389042037276406e-09,4.0999724458893025,-0.0,32292.95270454581,15261.382586970678,5.3357427930284164e-09,4.10115113661093,-0.0,32409.968888801817,15402.972117682235,5.338482294646941e-09,4.1000275541106985,-0.0
8,CV-charge,30,1636.3636363636365,73799.28159908259,8.2,19.497606881884565,9.684600819768814,9.813006062115752,32332.742901626392,15488.198744494088,5.337989334098502e-09,4.098862391129683,-0.0,32295.47376251842,15548.246552928573,5.3392818241520505e-09,4.099972668681169,-0.0,32183.02863612524,15383.628200623674,5.336118981721048e-09,4.101137608870316,-0.0,32297.917550180893,15524.84955723482,5.338860544296317e-09,4.10002733131883,-0.0
8,CV-charge,31,1690.909090909091,73853.82705362805,8.2,18.982498167325954,9.429471110347743,9.553027056978216,32223.214465250694,15605.486759428379,5.338356231909789e-09,4.098875707146997,-0.0,32186.433274995972,15666.490770135753,5.339652814562184e-09,4.09997287516868,-0.0,32076.00170421694,15502.641821793835,5.3364885578425465e-09,4.101124292853004,-0.0,32188.836180045488,15643.486333732024,5.339232147162774e-09,4.10002712483132,-0.0
8,CV-charge,32,1745.4545454545455,73908.3725081735,8.2,18.487478729279495,9.184255699811263,9.303223029468231,32116.535583856123,15719.713898448248,5.338716839863176e-09,4.098888809625705,-0.0,32080.245366082672,15781.63195612845,5.340017427771228e-09,4.099973067220111,-0.0,31971.759246706566,15618.549535280219,5.3368517734226216e-09,4.101111190374294,-0.0,32082.608458038292,15759.009777595966,5.339597356924203e-09,4.100026932779888,-0.0
8,CV-charge,33,1800.0,73962.91796271896,8.2,18.01150666963465,8.948442247515862,9.063064422118787,32012.596925282454,15830.997978831198,5.339071392999478e-09,4.098901697466859,-0.0,31976.799815794315,15893.790396119775,5.340375903105631e-09,4.099973246570832,-0.0,31870.19442845563,15731.470891666648,5.337208867027356e-09,4.101098302533141,-0.0,31979.12412285011,15871.540573355673,5.339956413693523e-09,4.1000267534291694,-0.0
