,,,Global Time,Time,Pack Voltage,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode vConcentration","Cell 2,1 Anode vConcentration","Cell 2,1 Anode vSEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode vConcentration","Cell 2,2 Anode vConcentration","Cell 2,2 Anode vSEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
2,CV-charge,4,29186.09191328521,290.90909090909093,8.2,11.436799780429315,11.43679978042974,32988.33300470125,14744.045090765143,5.078253811846133e-09,4.099999999999868,-0.0,32988.33300470791,14744.045090759973,5.078253814133788e-09,4.099999999999807,-0.0,32988.33300469983,14744.045090765774,5.078253818845373e-09,4.100000000000131,-0.0,32988.33300470854,14744.045090758458,5.0782538262625335e-09,4.100000000000195,-0.0
2,CV-charge,5,29258.819186012483,363.6363636363637,8.2,11.004263303440101,11.004263303443807,32819.00554835677,14929.081734419735,5.078803761221708e-09,4.099999999999872,-0.0,32819.00554836338,14929.081734414482,5.078803763527442e-09,4.099999999999837,-0.0,32819.005548355264,14929.081734420239,5.078803768218859e-09,4.100000000000128,-0.0,32819.00554836412,14929.081734413094,5.078803774145038e-09,4.100000000000162,-0.0
2,CV-charge,6,29331.546458739755,436.3636363636364,8.2,10.595755821915972,10.595755821917272,32656.004733467296,15107.18194955444,5.0793395535335404e-09,4.099999999999875,-0.0,32656.004733473703,15107.181949549187,5.079339555782388e-09,4.0999999999998185,-0.0,32656.00473346581,15107.181949555066,5.07933956049574e-09,4.100000000000124,-0.0,32656.004733474594,15107.181949547812,5.079339568162002e-09,4.100000000000182,-0.0
2,CV-charge,7,29404.273731467027,509.0909090909091,8.199999999999998,10.209547808032495,10.209547808037005,32498.97787064872,15278.733534579862,5.079861968802769e-09,4.0999999999998815,-0.0,32498.977870655202,15278.733534574521,5.0798619709604354e-09,4.099999999999847,-0.0,32498.977870647363,15278.733534580459,5.079861975743194e-09,4.100000000000116,-0.0,32498.977870656123,15278.7335345733,5.07986198188094e-09,4.100000000000152,-0.0
2,CV-charge,8,29477.0010041943,581.8181818181819,8.2,9.84406486617902,9.844064866184935,32347.60427983114,15444.08909112776,5.0803717134168e-09,4.099999999999885,-0.0,32347.604279837553,15444.089091122614,5.080371715531039e-09,4.099999999999861,-0.0,32347.60427982977,15444.089091128459,5.080371720323413e-09,4.100000000000115,-0.0,32347.604279838397,15444.08909112147,5.080371725844254e-09,4.100000000000139,-0.0
2,CV-charge,9,29549.728276921574,654.5454545454546,8.2,9.49730162172025,9.497301621725994,32201.349280658316,15603.834984666233,5.080869970195306e-09,4.099999999999889,-0.0,32201.34928066463,15603.83498466113,5.080869972306521e-09,4.099999999999865,-0.0,32201.34928065707,15603.834984666943,5.080869977105559e-09,4.10000000000011,-0.0,32201.349280665476,15603.83498465995,5.080869982769484e-09,4.100000000000134,-0.0
2,CV-charge,10,29622.455549648846,727.2727272727274,8.2,9.168507615849794,9.16850761585567,32060.17546539817,15758.01354964309,5.081356810893529e-09,4.0999999999998895,-0.0,32060.175465404413,15758.013549638155,5.0813568130221875e-09,4.099999999999868,-0.0,32060.17546539684,15758.013549643809,5.0813568178026735e-09,4.10000000000011,-0.0,32060.17546540506,15758.013549636884,5.081356823565691e-09,4.100000000000132,-0.0
2,CV-charge,11,29695.18282237612,800.0000000000001,8.2,8.856267875833574,8.856267875839663,31923.74278260215,15906.998208552222,5.0818329833608105e-09,4.099999999999894,-0.0,31923.742782608362,15906.998208547466,5.0818329854900065e-09,4.09999999999987,-0.0,31923.742782600748,15906.998208552968,5.081832990270023e-09,4.1000000000001044,-0.0,31923.74278260897,15906.99820854621,5.081832996042989e-09,4.1000000000001275,-0.0
2,CV-charge,12,29767.91009510339,872.7272727272727,8.2,8.559823970284596,8.559823970290333,31791.974088785555,16050.874802423143,5.082298647219836e-09,4.099999999999897,-0.0,31791.97408879173,16050.87480241851,5.08229864936311e-09,4.099999999999873,-0.0,31791.974088784205,16050.874802423932,5.082298654116292e-09,4.100000000000104,-0.0,31791.97408879239,16050.874802417207,5.08229866026668e-09,4.1000000000001275,-0.0
2,CV-charge,13,29840.637367830663,945.4545454545455,8.2,8.277937731186153,8.277937731192397,31664.559750503682,16189.983074735454,5.0827544822701994e-09,4.099999999999899,-0.0,31664.55975050971,16189.983074730968,5.082754484408719e-09,4.0999999999998815,-0.0,31664.559750502267,16189.983074736198,5.082754489167513e-09,4.1000000000001,-0.0,31664.559750510474,16189.983074729646,5.082754494956882e-09,4.100000000000118,-0.0
