,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C2,32,13869.459836547441,2327.2727272727275,29826.562880593498,18189.622828915824,5.379251056625466e-09,4.100999999999999,4.766458192477609
C2,33,13942.187109274713,2400.0,29755.122442708136,18267.4247124424,5.382530701666262e-09,4.101,4.643477694979794
C2,34,14014.914382001985,2472.727272727273,29685.511501930592,18343.229796356587,5.38576736945671e-09,4.101000000000001,4.524729424035194
C2,35,14087.64165472926,2545.4545454545455,29617.66790886116,18417.10610003918,5.388962462175179e-09,4.100999999999999,4.41000534597477
C2,36,14160.368927456531,2618.1818181818185,29551.532530543867,18489.118332508693,5.392117317474715e-09,4.101000000000001,4.299110609134278
C2,37,14233.096200183805,2690.909090909091,29487.049061165097,18559.328100601626,5.395233212446704e-09,4.101,4.191862568181371
C2,38,14305.823472911077,2763.636363636364,29424.163846648044,18627.79410184574,5.398311367291677e-09,4.101,4.088089889494555
C2,39,14378.55074563835,2836.3636363636365,29362.82572199582,18694.572303286484,5.401352948722061e-09,4.101,3.987631730234376
C2,40,14451.278018365623,2909.0909090909095,29302.985860341538,18759.716107422428,5.404359073119366e-09,4.101,3.890336984446645
C2,41,14524.005291092895,2981.818181818182,29244.597632757115,18823.276506290633,5.407330809466138e-09,4.101000000000001,3.7960635901884827
C2,42,14596.73256382017,3054.545454545455,29187.616477955216,18885.302224661344,5.410269182071122e-09,4.101,3.704677892233125
C2,43,14669.459836547441,3127.2727272727275,29131.99978109711,18945.839853203503,5.413175173104358e-09,4.100999999999999,3.616054055434406
C2,44,14742.187109274713,3200.0000000000005,29077.706760989586,19004.933972420804,5.416049724957397e-09,4.100999999999999,3.5300735243020993
C2,45,14814.914382001985,3272.727272727273,29024.698365012657,19062.627268074848,5.418893742442497e-09,4.100999999999999,3.446624524753452
C2,46,14887.64165472926,3345.454545454546,28972.9371711823,19118.960638759418,5.421708094843349e-09,4.100999999999999,3.365601604395909
C2,47,14960.368927456531,3418.1818181818185,28922.387296798464,19173.973296228058,5.4244936178288305e-09,4.100999999999999,3.286905208026876
C2,48,15033.096200183805,3490.909090909091,28873.0143131786,19227.702859025554,5.427251115240262e-09,4.101000000000001,3.21044128535658
C2,49,15105.823472911077,3563.636363636364,28824.78516601885,19280.18543993077,5.429981360761713e-09,4.100999999999999,3.136120928227696
C2,50,15178.55074563835,3636.3636363636365,28777.668100962743,19331.455727670873,5.432685099482143e-09,4.101,3.0638600348658676
C2,51,15251.278018365623,3709.0909090909095,28731.63259399224,19381.54706333299,5.435363049357359e-09,4.101,2.993578998908857
C2,52,15324.005291092895,3781.818181818182,28686.64928628769,19430.491511862387,5.438015902579151e-09,4.101,2.925202421182372
C2,53,15396.73256382017,3854.545454545455,28642.689923233862,19478.31992900171,5.440644326858353e-09,4.101000000000001,2.8586588423600734
C2,54,15469.459836547441,3927.2727272727275,28599.727297271493,19525.062024003364,5.443248966627979e-09,4.101,2.7938804948173357
C2,55,15542.187109274713,4000.0000000000005,28557.735194322326,19570.746418414095,5.445830444172183e-09,4.101000000000001,2.7308030721430803
C2,56,15614.914382001985,4072.727272727273,28516.688343535596,19615.40070120979,5.448389360686209e-09,4.101,2.6693655149061426
C2,57,15687.64165472926,4145.454545454546,28476.562370121,19659.051480538325,5.4509262972722156e-09,4.100999999999999,2.6095098113877384
