Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
3,CC-charge,1,72.72727272727273,22885.762590579972,3.771703127753684,27.263836618115008,27.263836618115004,45701.951403752966,842.8508531696408,5.061204405653062e-09,3.771703127753684
3,CC-charge,2,145.45454545454547,22958.489863307244,3.8353238774225678,27.263836618115,27.263836618115,45282.60682202015,1298.634820563715,5.061220419936838e-09,3.8353238774225678
3,CC-charge,3,218.1818181818182,23031.21713603452,3.878874302648154,27.263836618115,27.263836618115,44865.0907407303,1754.3905729107912,5.061259834580221e-09,3.878874302648154
3,CC-charge,4,290.90909090909093,23103.944408761792,3.9146743344961683,27.263836618115,27.263836618115,44447.62540183749,2210.1449474913848,5.061338639660885e-09,3.9146743344961683
3,CC-charge,5,363.6363636363637,23176.671681489064,3.9445695683873434,27.263836618115,27.263836618115,44030.16095162386,2665.8973427352903,5.061476946942792e-09,3.9445695683873434
3,CC-charge,6,436.3636363636364,23249.398954216336,3.9694148379301972,27.263836618115,27.263836618115,43612.69651120731,3121.64709345843,5.061696212137982e-09,3.9694148379301972
3,CC-charge,7,509.0909090909091,23322.12622694361,3.989984467674037,27.263836618115,27.263836618115,43195.23207077233,3577.3936861097823,5.06201377625265e-09,3.989984467674037
3,CC-charge,8,550.1510634836766,23363.186381336378,3.9999900000000004,27.263836618115,27.263836618115,42959.54119807854,3834.69627001387,5.062240866110664e-09,3.9999900000000004
3,CV-charge,0,0.0,23363.186381336378,4.0,27.31512295389094,27.31512295389094,42959.54119807854,3834.69627001387,5.062240866110664e-09,4.0
3,CV-charge,1,72.72727272727273,23435.91365406365,4.0,23.175679612788446,23.175679612788446,42456.22915813546,4316.575289284239,5.062694605412703e-09,4.0
3,CV-charge,2,145.45454545454547,23508.640926790922,4.0,20.97262457350156,20.97262457350156,42129.85603445687,4677.919732946116,5.063174011135284e-09,4.0
3,CV-charge,3,218.1818181818182,23581.368199518198,3.999999999999999,19.347537393346478,19.347537393346478,41830.81138021731,5009.439152154444,5.063670588649804e-09,3.999999999999999
3,CV-charge,4,290.90909090909093,23654.09547224547,4.000000000000001,18.08775516470512,18.08775516470512,41551.60071285162,5318.155834839216,5.064178180101002e-09,4.000000000000001
3,CV-charge,5,363.6363636363637,23726.822744972742,3.9999999999999996,17.074409803734376,17.074409803734376,41288.28229320824,5608.727985851707,5.064692178553687e-09,3.9999999999999996
3,CV-charge,6,436.3636363636364,23799.550017700014,4.0,16.234921559197343,16.234921559197343,41038.09572386199,5884.410000752467,5.065209096259745e-09,4.0
3,CV-charge,7,509.0909090909091,23872.277290427286,4.0,15.522483217198733,15.522483217198733,40799.02972671447,6147.55022592835,5.06572628226781e-09,4.0
3,CV-charge,8,581.8181818181819,23945.004563154558,3.9999999999999996,14.905561816495151,14.905561816495151,40569.578173817266,6399.894885453267,5.066241712936932e-09,3.9999999999999996
3,CV-charge,9,654.5454545454546,24017.731835881834,3.9999999999999996,14.362151296959881,14.362151296959881,40348.58236719393,6642.779317403442,5.06675383547208e-09,3.9999999999999996
3,CV-charge,10,727.2727272727274,24090.459108609106,4.0,13.876437309537652,13.876437309537652,40135.13112714391,6877.248581401454,5.0672614574908945e-09,4.0
3,CV-charge,11,800.0000000000001,24163.186381336378,4.0,13.43681567767934,13.43681567767934,39928.49873811927,7104.131581374025,5.067763673521093e-09,4.0
3,CV-charge,12,872.7272727272727,24235.91365406365,4.0,13.034575812235403,13.034575812235403,39728.097392268646,7324.097358409484,5.068259801936718e-09,4.0
3,CV-charge,13,945.4545454545455,24308.640926790922,3.9999999999999996,12.663093582777849,12.663093582777849,39533.444644130395,7537.693325261236,5.068749338940323e-09,3.9999999999999996
3,CV-charge,14,1018.1818181818182,24381.368199518198,4.0,12.317246685166932,12.317246685166932,39344.13958544142,7745.373093504207,5.069231922062717e-09,4.0
3,CV-charge,15,1090.909090909091,24454.09547224547,4.0,11.99302998641205,11.99302998641205,39159.84396918266,7947.518382468887,5.06970730040414e-09,4.0
3,CV-charge,16,1163.6363636363637,24526.822744972742,4.0,11.687275168983698,11.687275168983698,38980.268943906114,8144.454343807875,5.0701753130559554e-09,4.0
3,CV-charge,17,1236.3636363636365,24599.550017700014,4.0,11.397460521599815,11.397460521599815,38805.165992249276,8336.460082279762,5.070635870510087e-09,4.0
3,CV-charge,18,1309.0909090909092,24672.277290427286,4.0,11.12155410980021,11.12155410980021,38634.318439039795,8523.778402597905,5.0710889407853955e-09,4.0
3,CV-charge,19,1381.818181818182,24745.004563154558,3.9999999999999996,10.857909639272085,10.857909639272085,38467.535468682385,8706.62268133119,5.071534537847046e-09,3.9999999999999996
3,CV-charge,20,1454.5454545454547,24817.731835881834,4.0,10.605182358519615,10.605182358519615,38304.64703815335,8885.182677926383,5.071972713126623e-09,4.0
3,CV-charge,21,1527.2727272727275,24890.459108609106,4.0,10.362267359246397,10.362267359246397,38145.50101421718,9059.627865669298,5.072403545003497e-09,4.0
3,CV-charge,22,1600.0000000000002,24963.186381336378,4.000000000000001,10.128249055623062,10.128249055623062,37989.95882574721,9230.112322127692,5.072827136091747e-09,4.000000000000001
3,CV-charge,23,1672.727272727273,25035.91365406365,4.0,9.90236616926119,9.90236616926119,37837.895985506206,9396.774269706148,5.073243601938223e-09,4.0
3,CV-charge,24,1745.4545454545455,25108.640926790922,4.0,9.683978812134331,9.683978812134331,37689.19637045753,9559.742429370917,5.073653074990462e-09,4.0
3,CV-charge,25,1818.1818181818182,25181.368199518198,4.000000000000001,9.47254534674025,9.47254534674025,37543.752411426874,9719.135878676805,5.074055697493581e-09,4.000000000000001
3,CV-charge,26,1890.909090909091,25254.09547224547,4.000000000000001,9.267604433138374,9.267604433138374,37401.46384444928,9875.065472955292,5.074451618697217e-09,4.000000000000001
3,CV-charge,27,1963.6363636363637,25326.822744972742,4.000000000000001,9.068760470965067,9.068760470965067,37262.23701800452,10027.63464650065,5.074840991881554e-09,4.000000000000001
3,CV-charge,28,2036.3636363636365,25399.550017700014,4.0,8.875670508913979,8.875670508913979,37125.983165373334,10176.941339539653,5.075223974443899e-09,4.0
3,CV-charge,29,2109.0909090909095,25472.277290427286,4.000000000000001,8.688035212582356,8.688035212582356,36992.618342799164,10323.078092777596,5.075600725061352e-09,4.000000000000001
3,CV-charge,30,2181.818181818182,25545.004563154558,3.9999999999999996,8.505594392506346,8.505594392506346,36862.065151817755,10466.130181544922,5.075971397549284e-09,3.9999999999999996
3,CV-charge,31,2254.545454545455,25617.731835881834,4.000000000000001,8.328108460692215,8.328108460692215,36734.24355472212,10606.185700396782,5.076336158711877e-09,4.000000000000001
3,CV-charge,32,2327.2727272727275,25690.459108609106,3.9999999999999996,8.155367384073623,8.155367384073623,36609.08046579903,10743.325061479338,5.076695166015912e-09,3.9999999999999996
3,CV-charge,33,2400.0,25763.186381336378,4.000000000000001,7.987181412740474,7.987181412740474,36486.505855783755,10877.625279493777,5.077048574700124e-09,4.000000000000001
3,CV-charge,34,2472.727272727273,25835.91365406365,4.0,7.823230292155518,7.823230292155518,36366.3440733,11009.279073342952,5.077396771081382e-09,4.0
3,CV-charge,35,2545.4545454545455,25908.640926790922,4.000000000000001,7.663654926988265,7.663654926988265,36248.750162336786,11138.116721056727,5.0777394307360965e-09,4.000000000000001
3,CV-charge,36,2618.1818181818185,25981.368199518198,4.0,7.508156449339584,7.508156449339584,36133.55039686191,11264.32881242235,5.0780769401155165e-09,4.0
3,CV-charge,37,2690.909090909091,26054.09547224547,4.000000000000001,7.356597824572653,7.356597824572653,36020.68435783819,11387.981692106821,5.078409442384044e-09,4.000000000000001
3,CV-charge,38,2763.636363636364,26126.822744972742,4.0,7.208850654254002,7.208850654254002,35910.09362264588,11509.139516609694,5.07873707718938e-09,4.0
3,CV-charge,39,2836.3636363636365,26199.550017700014,4.000000000000001,7.064790666457789,7.064790666457789,35801.71920861612,11627.867043532045,5.079059985688728e-09,4.000000000000001
3,CV-charge,40,2909.0909090909095,26272.277290427286,3.9999999999999996,6.924303057951894,6.924303057951894,35695.506239475006,11744.224516179871,5.079378300348161e-09,3.9999999999999996
3,CV-charge,41,2981.818181818182,26345.004563154558,4.0,6.787106280975256,6.787106280975256,35591.270241535254,11858.414170120612,5.079692427346038e-09,4.0
3,CV-charge,42,3054.545454545455,26417.731835881834,3.999999999999999,6.653270327082976,6.653270327082976,35489.09112224841,11970.348517094211,5.080002212718671e-09,3.999999999999999
3,CV-charge,43,3127.2727272727275,26490.459108609106,4.0,6.52287298948701,6.52287298948701,35389.05554809154,12079.93272093835,5.080307491014958e-09,4.0
3,CV-charge,44,3200.0000000000005,26563.186381336378,4.000000000000001,6.395639013222656,6.395639013222656,35290.97836967488,12187.36975761091,5.080608667492524e-09,4.000000000000001
3,CV-charge,45,3272.727272727273,26635.91365406365,4.000000000000001,6.271291882051244,6.271291882051244,35194.669539975024,12292.867912116106,5.0809061536025924e-09,4.000000000000001
3,CV-charge,46,3345.454545454546,26708.640926790926,4.0,6.149927752801943,6.149927752801943,35100.22572697558,12396.321314834375,5.081199762001217e-09,4.0
3,CV-charge,47,3418.1818181818185,26781.368199518198,3.9999999999999996,6.031460443654935,6.031460443654935,35007.6024080645,12497.778852069227,5.081489599854892e-09,3.9999999999999996
3,CV-charge,48,3490.909090909091,26854.09547224547,4.000000000000001,5.915806603268961,5.915806603268961,34916.75630813615,12597.288009209278,5.081775770922459e-09,4.000000000000001
3,CV-charge,49,3563.636363636364,26926.822744972742,4.0,5.8028855691832435,5.8028855691832435,34827.64539484425,12694.894907915323,5.082058375640448e-09,4.0
3,CV-charge,50,3636.3636363636365,26999.550017700014,3.999999999999999,5.692619224039151,5.692619224039151,34740.22883812192,12790.644349850543,5.0823375112125255e-09,3.999999999999999
3,CV-charge,51,3709.0909090909095,27072.277290427286,3.9999999999999996,5.584931874596112,5.584931874596112,34654.46697284759,12884.579857827917,5.082613271701378e-09,3.9999999999999996
3,CV-charge,52,3781.818181818182,27145.004563154558,3.999999999999999,5.479750147649327,5.479750147649327,34570.321263093705,12976.743715153041,5.082885748122029e-09,3.999999999999999
3,CV-charge,53,3854.545454545455,27217.731835881834,4.0,5.377002924286903,5.377002924286903,34487.75428782214,13067.176981418948,5.083155028488908e-09,4.0
3,CV-charge,54,3927.2727272727275,27290.459108609106,4.0,5.276621333133915,5.276621333133915,34406.72976745769,13155.919463449098,5.083421197771386e-09,4.0
3,CV-charge,55,4000.0000000000005,27363.186381336378,4.0,5.178538406911567,5.178538406911567,34327.212312764,13243.009990792045,5.083684338497925e-09,4.0
3,CV-charge,56,4072.727272727273,27435.91365406365,3.9999999999999996,5.082689241046529,5.082689241046529,34249.16757318686,13328.486252896188,5.083944530428805e-09,3.9999999999999996
3,CV-charge,57,4145.454545454546,27508.640926790926,4.0,4.989010883697449,4.989010883697449,34172.56216656804,13412.384876368165,5.084201850740963e-09,4.0
3,CV-charge,58,4218.181818181819,27581.368199518198,3.999999999999999,4.8974422800050315,4.8974422800050315,34097.3636499262,13494.74145699794,5.0844563741167354e-09,3.999999999999999
3,CV-charge,59,4290.909090909091,27654.09547224547,4.000000000000001,4.807924219572119,4.807924219572119,34023.54049110047,13575.590590873166,5.0847081728306044e-09,4.000000000000001
3,CV-charge,60,4363.636363636364,27726.822744972742,3.999999999999999,4.720399286423036,4.720399286423036,33951.06204116227,13654.965904642215,5.0849573168338155e-09,3.999999999999999
3,CV-charge,61,4436.363636363637,27799.550017700014,4.0,4.634811810915701,4.634811810915701,33879.89850756604,13732.900084962967,5.085203873836727e-09,4.0
3,CV-charge,62,4509.09090909091,27872.277290427286,4.0,4.551107823206011,4.551107823206011,33810.02092801666,13809.424907168781,5.085447909388795e-09,4.0
3,CV-charge,63,4581.818181818182,27945.004563154558,3.999999999999999,4.4692350079614895,4.4692350079614895,33741.401145033575,13884.57126316773,5.085689486956155e-09,3.999999999999999
3,CV-charge,64,4654.545454545455,28017.731835881834,4.000000000000001,4.3891426601012835,4.3891426601012835,33674.01178119286,13958.369188598619,5.085928667996764e-09,4.000000000000001
3,CV-charge,65,4727.272727272728,28090.459108609106,3.9999999999999996,4.310781641401985,4.310781641401985,33607.82621503525,14030.847889256629,5.086165512033075e-09,3.9999999999999996
3,CV-charge,66,4800.0,28163.186381336378,3.9999999999999996,4.234104337863276,4.234104337863276,33542.81855763114,14102.03576680078,5.086400076722272e-09,3.9999999999999996
3,CV-charge,67,4872.727272727273,28235.91365406365,3.9999999999999996,4.159064617755979,4.159064617755979,33478.963629786755,14171.96044376035,5.086632417924078e-09,3.9999999999999996
3,CV-charge,68,4945.454545454546,28308.640926790926,4.000000000000001,4.085617790311717,4.085617790311717,33416.23693988669,14240.648787843125,5.0868625897661764e-09,4.000000000000001
3,CV-charge,69,5018.181818181819,28381.368199518198,3.9999999999999996,4.013720565027849,4.013720565027849,33354.61466235787,14308.126935562736,5.087090644707263e-09,3.9999999999999996
3,CV-charge,70,5090.909090909091,28454.09547224547,4.000000000000001,3.943331011588306,3.943331011588306,33294.073616752314,14374.420315191104,5.087316633597813e-09,4.000000000000001
3,CV-charge,71,5163.636363636364,28526.822744972742,4.0,3.8744085203961713,3.8744085203961713,33234.59124743241,14439.553669049956,5.087540605738577e-09,4.0
3,CV-charge,72,5236.363636363637,28599.550017700014,3.999999999999999,3.8069137637398875,3.8069137637398875,33176.145603855184,14503.551075147578,5.087762608936911e-09,3.999999999999999
3,CV-charge,73,5309.09090909091,28672.277290427286,4.000000000000001,3.740808657601209,3.740808657601209,33118.71532143858,14566.435968174113,5.087982689560951e-09,4.000000000000001
3,CV-charge,74,5381.818181818182,28745.004563154558,4.0,3.676056324135394,3.676056324135394,33062.27960301057,14628.231159868108,5.088200892591731e-09,4.0
3,CV-charge,75,5454.545454545455,28817.731835881834,4.000000000000001,3.6126210548347886,3.6126210548347886,33006.81820081718,14688.958858760794,5.088417261673305e-09,4.000000000000001
3,CV-charge,76,5527.272727272728,28890.459108609106,4.000000000000001,3.550468274402737,3.550468274402737,32952.31139908833,14748.64068931396,5.088631839160925e-09,4.000000000000001
3,CV-charge,77,5600.000000000001,28963.186381336378,4.0,3.4895645053591555,3.4895645053591555,32898.739997148805,14807.297710462548,5.088844666167347e-09,4.0
3,CV-charge,78,5672.727272727273,29035.91365406365,4.0,3.4298773333895824,3.4298773333895824,32846.08529305843,14864.950433573027,5.089055782607334e-09,4.0
3,CV-charge,79,5745.454545454546,29108.640926790926,4.000000000000001,3.371375373461198,3.371375373461198,32794.32906777561,14921.61883983232,5.0892652272404144e-09,4.000000000000001
3,CV-charge,80,5818.181818181819,29181.368199518198,4.0,3.3140282367128537,3.3140282367128537,32743.453569827165,14977.32239707758,5.089473037711978e-09,4.0
3,CV-charge,81,5890.909090909091,29254.09547224547,3.9999999999999996,3.2578064981356705,3.2578064981356705,32693.441500477264,15032.080076083641,5.089679250592733e-09,3.9999999999999996
3,CV-charge,82,5963.636363636364,29326.822744972742,4.0,3.2026816650489778,3.2026816650489778,32644.275999379784,15085.910366316575,5.0898839014166235e-09,4.0
3,CV-charge,83,6036.363636363637,29399.550017700014,4.000000000000001,3.148626146378956,3.148626146378956,32595.940630702124,15138.83129117086,5.0900870247172635e-09,4.000000000000001
3,CV-charge,84,6109.09090909091,29472.277290427286,4.0,3.095613222742828,3.095613222742828,32548.41936971137,15190.860422703385,5.09028865406291e-09,4.0
3,CV-charge,85,6181.818181818182,29545.004563154558,4.0,3.043617017338619,3.043617017338619,32501.6965898054,15242.014895873357,5.090488822090083e-09,4.0
3,CV-charge,86,6254.545454545455,29617.731835881834,4.000000000000001,2.9926124676405457,2.9926124676405457,32455.75704997995,15292.311422306515,5.090687560535838e-09,4.000000000000001
3,CV-charge,87,6327.272727272728,29690.459108609106,3.9999999999999996,2.942575297895511,2.942575297895511,32410.585882720356,15341.766303596383,5.09088490026879e-09,3.9999999999999996
3,CV-charge,88,6400.000000000001,29763.186381336378,4.0,2.893481992416467,2.893481992416467,32366.168582302686,15390.395444152357,5.0910808713188945e-09,4.0
3,CV-charge,89,6472.727272727273,29835.91365406365,4.0,2.8453097696607696,2.8453097696607696,32322.490993492498,15438.214363611725,5.0912755029060774e-09,4.0
3,CV-charge,90,6545.454545454546,29908.640926790926,4.000000000000001,2.7981177562132666,2.7981177562132666,32279.61316215381,15485.157331017681,5.091468690257329e-09,4.000000000000001
3,CV-charge,91,6618.181818181819,29981.368199518198,4.0,2.7517206849288716,2.7517206849288716,32237.372664696744,15531.402225315454,5.0916607296767725e-09,4.0
3,CV-charge,92,6658.545319296185,30021.73170063256,4.0,2.726393661811501,2.726393661811501,32214.278505584345,15556.685551560853,5.091766683548831e-09,4.0
4,CC-discharge,0,0.0,30021.73170063256,3.661352920892894,-27.263836618115,-27.263836618115,32214.278505584345,15556.685551560853,5.091766683548831e-09,3.661352920892894
4,CC-discharge,1,72.72727272727273,30094.458973359833,3.647938916803469,-27.263836618115004,-27.263836618115008,32775.341794556916,15021.514415483625,5.091766683548831e-09,3.647938916803469
4,CC-discharge,2,145.45454545454547,30167.186246087105,3.638136705259847,-27.263836618115,-27.263836618115,33194.70802404442,14565.737731180718,5.091766683548831e-09,3.638136705259847
4,CC-discharge,3,218.1818181818182,30239.91351881438,3.628585049987771,-27.263836618115,-27.263836618115,33612.18937652839,14109.980858952831,5.091766683548831e-09,3.628585049987771
4,CC-discharge,4,290.90909090909093,30312.640791541653,3.619236822314002,-27.263836618115,-27.263836618115,34029.65498922866,13654.22376384165,5.091766683548831e-09,3.619236822314002
4,CC-discharge,5,363.6363636363637,30385.368064268925,3.610082142669768,-27.263836618115,-27.263836618115,34447.119523140536,13198.466665962875,5.091766683548831e-09,3.610082142669768
4,CC-discharge,6,436.3636363636364,30458.095336996197,3.601111373905592,-27.263836618115,-27.263836618115,34864.583970520565,12742.709568038463,5.091766683548831e-09,3.601111373905592
4,CC-discharge,7,509.0909090909091,30530.82260972347,3.5923111908787,-27.263836618115,-27.263836618115,35282.048411456126,12286.952470113365,5.091766683548831e-09,3.5923111908787
4,CC-discharge,8,581.8181818181819,30603.54988245074,3.5836669603804125,-27.263836618115,-27.263836618115,35699.512851926425,11831.195372188311,5.091766683548831e-09,3.5836669603804125
4,CC-discharge,9,654.5454545454546,30676.277155178017,3.575160317786824,-27.263836618115,-27.263836618115,36116.97729236388,11375.438274263413,5.091766683548831e-09,3.575160317786824
4,CC-discharge,10,727.2727272727274,30749.00442790529,3.566768405248726,-27.263836618115,-27.263836618115,36534.44173279875,10919.681176338478,5.091766683548831e-09,3.566768405248726
4,CC-discharge,11,800.0000000000001,30821.73170063256,3.5584627221360465,-27.263836618115,-27.263836618115,36951.90617323364,10463.924078413438,5.091766683548831e-09,3.5584627221360465
4,CC-discharge,12,872.7272727272727,30894.458973359833,3.5502076682173764,-27.263836618115,-27.263836618115,37369.37061366866,10008.16698048853,5.091766683548831e-09,3.5502076682173764
4,CC-discharge,13,945.4545454545455,30967.186246087105,3.541958701927086,-27.263836618115,-27.263836618115,37786.835054103816,9552.40988256358,5.091766683548831e-09,3.541958701927086
4,CC-discharge,14,1018.1818181818182,31039.91351881438,3.5336600629441492,-27.263836618115,-27.263836618115,38204.29949453865,9096.652784638587,5.091766683548831e-09,3.5336600629441492
4,CC-discharge,15,1090.909090909091,31112.640791541653,3.525242008472013,-27.263836618115,-27.263836618115,38621.76393497341,8640.89568671363,5.091766683548831e-09,3.525242008472013
4,CC-discharge,16,1163.6363636363637,31185.368064268925,3.51661738623152,-27.263836618115,-27.263836618115,39039.228375408464,8185.138588788541,5.091766683548831e-09,3.51661738623152
4,CC-discharge,17,1236.3636363636365,31258.095336996197,3.5076777916646185,-27.263836618115,-27.263836618115,39456.692815843395,7729.381490863524,5.091766683548831e-09,3.5076777916646185
4,CC-discharge,18,1309.0909090909092,31330.82260972347,3.4982864799575375,-27.263836618115,-27.263836618115,39874.15725627804,7273.624392938483,5.091766683548831e-09,3.4982864799575375
4,CC-discharge,19,1381.818181818182,31403.549882450745,3.4882759874416585,-27.263836618115,-27.263836618115,40291.62169671298,6817.867295013418,5.091766683548831e-09,3.4882759874416585
4,CC-discharge,20,1454.5454545454547,31476.277155178017,3.4774357448071416,-27.263836618115,-27.263836618115,40709.08613714792,6362.110197088393,5.091766683548831e-09,3.4774357448071416
4,CC-discharge,21,1527.2727272727275,31549.00442790529,3.4655063821680026,-27.263836618115,-27.263836618115,41126.550577582755,5906.353099163414,5.091766683548831e-09,3.4655063821680026
4,CC-discharge,22,1600.0000000000002,31621.73170063256,3.4521665111135,-27.263836618115,-27.263836618115,41544.01501801722,5450.596001238385,5.091766683548831e-09,3.4521665111135
4,CC-discharge,23,1672.727272727273,31694.458973359833,3.4370205703605947,-27.263836618115,-27.263836618115,41961.47945845223,4994.838903313288,5.091766683548831e-09,3.4370205703605947
4,CC-discharge,24,1745.4545454545455,31767.186246087105,3.4195838008821484,-27.263836618115,-27.263836618115,42378.94389888723,4539.081805388212,5.091766683548831e-09,3.4195838008821484
4,CC-discharge,25,1818.1818181818182,31839.91351881438,3.399266173317906,-27.263836618115,-27.263836618115,42796.40833932206,4083.3247074631286,5.091766683548831e-09,3.399266173317906
4,CC-discharge,26,1890.909090909091,31912.640791541653,3.3753547362204404,-27.263836618115,-27.263836618115,43213.87277975719,3627.5676095380954,5.091766683548831e-09,3.3753547362204404
4,CC-discharge,27,1963.6363636363637,31985.368064268925,3.346999855974908,-27.263836618115,-27.263836618115,43631.33722019218,3171.8105116130546,5.091766683548831e-09,3.346999855974908
4,CC-discharge,28,2036.3636363636365,32058.095336996197,3.3131984725860333,-27.263836618115,-27.263836618115,44048.801660627374,2716.053413687995,5.091766683548831e-09,3.3131984725860333
4,CC-discharge,29,2109.0909090909095,32130.82260972347,3.2727654192898994,-27.263836618115,-27.263836618115,44466.26610106267,2260.296315762928,5.091766683548831e-09,3.2727654192898994
4,CC-discharge,30,2181.818181818182,32203.549882450745,3.2241769894078565,-27.263836618115,-27.263836618115,44883.73054149754,1804.5392178378756,5.091766683548831e-09,3.2241769894078565
4,CC-discharge,31,2254.545454545455,32276.277155178017,3.164510837011337,-27.263836618115,-27.263836618115,45301.19498193212,1348.7821199128005,5.091766683548831e-09,3.164510837011337
4,CC-discharge,32,2327.2727272727275,32349.00442790529,3.080887014337732,-27.263836618115,-27.263836618115,45718.65942236678,893.025021987722,5.091766683548831e-09,3.080887014337732
4,CC-discharge,33,2400.0,32421.73170063256,2.8228726994187348,-27.263836618115,-27.263836618115,46136.12386280173,437.26792406264184,5.091766683548831e-09,2.8228726994187348
4,CC-discharge,34,2420.682662309669,32442.41436294223,2.5000100000000027,-27.263836618115,-27.263836618115,46254.84515845914,307.6567094778787,5.091766683548831e-09,2.5000100000000027
4,CC-charge,0,0.0,32442.41436294223,3.2727177072230202,27.263836618115,27.263836618115,46254.84515845914,307.6567094778787,5.091766683548831e-09,3.2727177072230202
4,CC-charge,1,72.72727272727273,32515.1416356695,3.7717747808985593,27.263836618115,27.263836618115,45693.79458547222,842.8195694494992,5.0917695060753375e-09,3.7717747808985593
4,CC-charge,2,145.45454545454547,32587.868908396773,3.8353943735673517,27.263836618115,27.263836618115,45274.45000422307,1298.603536824251,5.091785519151286e-09,3.8353943735673517
4,CC-charge,3,218.1818181818182,32660.59618112405,3.878942985755158,27.263836618115,27.263836618115,44856.933922543285,1754.3592892529396,5.091824931715108e-09,3.878942985755158
4,CC-charge,4,290.90909090909093,32733.32345385132,3.9147421300386362,27.263836618115,27.263836618115,44439.4685836172,2210.113663947073,5.091903733412904e-09,3.9147421300386362
