Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
36,CV-charge,30,2181.818181818182,343220.0014767312,4.000000000000001,8.418403868862821,8.418403868862821,36772.94123129928,10347.967065082674,6.076914675259404e-09,4.000000000000001
36,CV-charge,31,2254.545454545455,343292.7287494585,3.9999999999999996,8.243060375653323,8.243060375653323,36646.32759530869,10485.90393743126,6.07727344102741e-09,3.9999999999999996
36,CV-charge,32,2327.2727272727275,343365.45602218574,3.9999999999999996,8.072453215362778,8.072453215362778,36522.34213539331,10620.97438448025,6.077626552927296e-09,3.9999999999999996
36,CV-charge,33,2400.0,343438.18329491303,4.0,7.906386498045759,7.906386498045759,36400.915530906146,10753.254220026092,6.077974160900698e-09,4.0
36,CV-charge,34,2472.727272727273,343510.9105676403,4.0,7.744529573981128,7.744529573981128,36281.86869909364,10882.938810005748,6.078316654078087e-09,4.0
36,CV-charge,35,2545.4545454545455,343583.63784036756,4.000000000000001,7.587025574240545,7.587025574240545,36165.363171032186,11009.852342791333,6.078653693593586e-09,4.000000000000001
36,CV-charge,36,2618.1818181818185,343656.36511309486,4.0,7.43340728929389,7.43340728929389,36051.103010177205,11134.317481571454,6.0789859233724165e-09,4.0
36,CV-charge,37,2690.909090909091,343729.09238582215,4.0,7.283858984052103,7.283858984052103,35939.269994284405,11256.136293227708,6.0793129664296705e-09,4.0
36,CV-charge,38,2763.636363636364,343801.8196585494,4.0,7.137914268565384,7.137914268565384,35829.55570447517,11375.644993925698,6.079635493568931e-09,4.0
36,CV-charge,39,2836.3636363636365,343874.5469312767,4.000000000000001,6.995788986098297,6.995788986098297,35722.15927422383,11492.62671122971,6.079953095080995e-09,4.000000000000001
