#,protocol,Time,Clock,Pack Voltage,Pack Current,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Voltage","Cell 1,1 Anode SEI Length","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Voltage","Cell 1,2 Anode SEI Length","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Voltage","Cell 2,1 Anode SEI Length","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Voltage","Cell 2,2 Anode SEI Length","Cell 2,2 Capacity by Area"
41,CC_Discharge,404.04040404040404,376203.58603031805,7.528547843131527,-54.52767323623,28430.38825454074,19427.84505282885,3.764273921564806,4.999999999906109e-09,3.0599143230212698,28430.388254563797,19427.84505281742,3.764273921564158,4.9999999998573e-09,3.0599143230202563,28430.38825447166,19427.845052821653,3.764273921566721,4.9999999998991254e-09,3.0599143230212698,28430.38825444667,19427.84505281985,3.764273921567369,5.00000000086853e-09,3.0599143230202563
41,CC_Discharge,444.4444444444444,376243.99007072207,7.514132570545247,-54.52767323623,28662.44108298823,19175.925390857166,3.757066285271689,4.999999999906109e-09,3.36590575532339,28662.44108301131,19175.925390845845,3.7570662852710535,4.9999999998573e-09,3.365905755322288,28662.44108291914,19175.925390849865,3.7570662852735577,4.9999999998991254e-09,3.36590575532339,28662.44108289404,19175.925390848202,3.7570662852741936,5.000000000868594e-09,3.365905755322288
41,CC_Discharge,484.8484848484848,376284.39411112614,7.500010540593277,-54.52767323623,28894.49391015667,18924.005728885473,3.7500052702957247,4.999999999906109e-09,3.6718971876255098,28894.493910179786,18924.005728874206,3.750005270295104,4.9999999998573e-09,3.6718971876243214,28894.493910087665,18924.00572887818,3.7500052702975526,4.9999999998991254e-09,3.6718971876255098,28894.49391006245,18924.00572887654,3.750005270298174,5.000000000868934e-09,3.6718971876243214
41,CC_Discharge,525.2525252525252,376324.79815153015,7.486159323358926,-54.52767323623,29126.546737063825,18672.086066913715,3.743079661678572,4.999999999906109e-09,3.977888619927628,29126.54673708688,18672.086066902535,3.7430796616779616,4.9999999998573e-09,3.977888619926355,29126.546736994955,18672.08606690655,3.7430796616803543,4.9999999998991254e-09,3.977888619927628,29126.546736969583,18672.086066904893,3.743079661680964,5.000000000868774e-09,3.977888619926355
41,CC_Discharge,565.6565656565656,376365.2021919342,7.472559698092429,-54.52767323623,29358.599563917935,18420.166404942043,3.7362798490453395,4.999999999906109e-09,4.283880052229743,29358.59956394085,18420.166404930813,3.7362798490447466,4.9999999998573e-09,4.283880052228392,29358.599563848882,18420.16640493474,3.736279849047089,4.9999999998991254e-09,4.283880052229743,29358.599563823558,18420.166404933134,3.7362798490476825,5.00000000086961e-09,4.283880052228392
41,CC_Discharge,606.060606060606,376405.60623233824,7.459195144139309,-54.52767323623,29590.65239076117,18168.246742970157,3.729597572068795,4.999999999906109e-09,4.589871484531858,29590.652390784086,18168.246742959214,3.7295975720682115,4.9999999998573e-09,4.5898714845304305,29590.65239069219,18168.24674296307,3.7295975720705137,4.9999999998991254e-09,4.589871484531858,29590.652390666786,18168.246742961408,3.7295975720710968,5.000000000868395e-09,4.5898714845304305
41,CC_Discharge,646.4646464646464,376446.01027274225,7.446051420358357,-54.52767323623,29822.70521760224,17916.32708099841,3.723025710178336,4.999999999906109e-09,4.8958629168339725,29822.705217625225,17916.327080987547,3.7230257101777626,4.9999999998573e-09,4.895862916832469,29822.705217533323,17916.327080991327,3.7230257101800213,4.9999999998991254e-09,4.8958629168339725,29822.705217507842,17916.327080989762,3.7230257101805937,5.000000000868753e-09,4.895862916832469
41,CC_Discharge,686.8686868686868,376486.4143131463,7.433116215348589,-54.52767323623,30054.758044442977,17664.40741902667,3.716558107673466,4.999999999906109e-09,5.201854349136082,30054.75804446578,17664.407419015857,3.716558107672904,4.9999999998573e-09,5.201854349134512,30054.758044374114,17664.407419019633,3.716558107675123,4.9999999998991254e-09,5.201854349136082,30054.758044348426,17664.407419018058,3.7165581076756844,5.0000000008676075e-09,5.201854349134512
41,CC_Discharge,727.2727272727273,376526.81835355033,7.420378854673907,-54.52767323623,30286.810871283462,17412.487757054983,3.7101894273361418,4.999999999906109e-09,5.5078457814381885,30286.810871306367,17412.487757044048,3.710189427335588,4.9999999998573e-09,5.507845781436559,30286.810871214715,17412.4877570479,3.7101894273377654,4.9999999998991254e-09,5.5078457814381885,30286.81087118903,17412.48775704637,3.7101894273383187,5.000000000866404e-09,5.507845781436559
41,CC_Discharge,767.6767676767677,376567.2223939544,7.407830054202352,-54.52767323623,30518.86369812404,17160.568095083247,3.703915027100376,4.999999999906109e-09,5.813837213740296,30518.863698146917,17160.568095072358,3.703915027099831,4.9999999998573e-09,5.813837213738604,30518.863698055295,17160.568095076207,3.703915027101975,4.9999999998991254e-09,5.813837213740296,30518.863698029574,17160.568095074796,3.70391502710252,5.000000000867287e-09,5.813837213738604
